Notes,County,County Code,Year,Year Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,"Fairfield County, OH",39045,2014,2014,Drug-induced causes,D,273,150381,181.5
,"Fairfield County, OH",39045,2015,2015,Drug-induced causes,D,298,151408,196.8
,"Fairfield County, OH",39045,2016,2016,Drug-induced causes,D,305,152597,199.9
,"Fayette County, OH",39047,2005,2005,Drug-induced causes,D,12,28695,Unreliable
,"Fayette County, OH",39047,2006,2006,Drug-induced causes,D,11,28791,Unreliable
,"Fayette County, OH",39047,2007,2007,Drug-induced causes,D,57,28908,197.2
,"Fayette County, OH",39047,2008,2008,Drug-induced causes,D,68,28896,235.3
,"Fayette County, OH",39047,2009,2009,Drug-induced causes,D,64,28929,221.2
,"Fayette County, OH",39047,2010,2010,Drug-induced causes,D,70,29030,241.1
,"Fayette County, OH",39047,2011,2011,Drug-induced causes,D,71,28985,245
,"Fayette County, OH",39047,2012,2012,Drug-induced causes,D,72,28880,249.3
,"Fayette County, OH",39047,2013,2013,Drug-induced causes,D,99,28800,343.8
,"Fayette County, OH",39047,2014,2014,Drug-induced causes,D,79,28800,274.3
,"Fayette County, OH",39047,2015,2015,Drug-induced causes,D,94,28679,327.8
,"Fayette County, OH",39047,2016,2016,Drug-induced causes,D,91,28676,317.3
,"Franklin County, OH",39049,1999,1999,Drug-induced causes,D,121,1061223,11.4
,"Franklin County, OH",39049,2000,2000,Drug-induced causes,D,156,1068978,14.6
,"Franklin County, OH",39049,2001,2001,Drug-induced causes,D,153,1082938,14.1
,"Franklin County, OH",39049,2002,2002,Drug-induced causes,D,179,1088693,16.4
,"Franklin County, OH",39049,2003,2003,Drug-induced causes,D,174,1095250,15.9
,"Franklin County, OH",39049,2004,2004,Drug-induced causes,D,204,1099603,18.6
,"Franklin County, OH",39049,2005,2005,Drug-induced causes,D,276,1105497,25
,"Franklin County, OH",39049,2006,2006,Drug-induced causes,D,315,1115924,28.2
,"Franklin County, OH",39049,2007,2007,Drug-induced causes,D,1475,1127174,130.9
,"Franklin County, OH",39049,2008,2008,Drug-induced causes,D,1549,1141183,135.7
,"Franklin County, OH",39049,2009,2009,Drug-induced causes,D,1384,1155408,119.8
,"Franklin County, OH",39049,2010,2010,Drug-induced causes,D,1495,1163414,128.5
,"Franklin County, OH",39049,2011,2011,Drug-induced causes,D,1471,1178799,124.8
,"Franklin County, OH",39049,2012,2012,Drug-induced causes,D,1495,1195537,125
,"Franklin County, OH",39049,2013,2013,Drug-induced causes,D,1610,1212263,132.8
,"Franklin County, OH",39049,2014,2014,Drug-induced causes,D,1627,1231393,132.1
,"Franklin County, OH",39049,2015,2015,Drug-induced causes,D,1835,1251722,146.6
,"Franklin County, OH",39049,2016,2016,Drug-induced causes,D,1825,1264518,144.3
,"Fulton County, OH",39051,2006,2006,Drug-induced causes,D,10,42785,Unreliable
,"Fulton County, OH",39051,2007,2007,Drug-induced causes,D,50,42800,116.8
,"Fulton County, OH",39051,2008,2008,Drug-induced causes,D,57,42780,133.2
,"Fulton County, OH",39051,2009,2009,Drug-induced causes,D,61,42747,142.7
,"Fulton County, OH",39051,2010,2010,Drug-induced causes,D,73,42698,171
,"Fulton County, OH",39051,2011,2011,Drug-induced causes,D,65,42510,152.9
,"Fulton County, OH",39051,2012,2012,Drug-induced causes,D,61,42513,143.5
,"Fulton County, OH",39051,2013,2013,Drug-induced causes,D,64,42488,150.6
,"Fulton County, OH",39051,2014,2014,Drug-induced causes,D,71,42580,166.7
,"Fulton County, OH",39051,2015,2015,Drug-induced causes,D,65,42537,152.8
,"Fulton County, OH",39051,2016,2016,Drug-induced causes,D,73,42514,171.7
,"Gallia County, OH",39053,2000,2000,Drug-induced causes,D,14,31069,Unreliable
,"Gallia County, OH",39053,2005,2005,Drug-induced causes,D,13,30993,Unreliable
,"Gallia County, OH",39053,2006,2006,Drug-induced causes,D,12,30927,Unreliable
,"Gallia County, OH",39053,2007,2007,Drug-induced causes,D,75,30977,242.1
,"Gallia County, OH",39053,2008,2008,Drug-induced causes,D,75,30997,242
,"Gallia County, OH",39053,2009,2009,Drug-induced causes,D,70,30857,226.9
,"Gallia County, OH",39053,2010,2010,Drug-induced causes,D,77,30934,248.9
,"Gallia County, OH",39053,2011,2011,Drug-induced causes,D,89,30970,287.4
,"Gallia County, OH",39053,2012,2012,Drug-induced causes,D,72,30708,234.5
,"Gallia County, OH",39053,2013,2013,Drug-induced causes,D,82,30621,267.8
,"Gallia County, OH",39053,2014,2014,Drug-induced causes,D,88,30397,289.5
,"Gallia County, OH",39053,2015,2015,Drug-induced causes,D,70,30142,232.2
,"Gallia County, OH",39053,2016,2016,Drug-induced causes,D,108,30015,359.8
,"Geauga County, OH",39055,2000,2000,Drug-induced causes,D,10,90895,Unreliable
,"Geauga County, OH",39055,2001,2001,Drug-induced causes,D,11,91429,Unreliable
,"Geauga County, OH",39055,2002,2002,Drug-induced causes,D,22,91970,23.9
,"Geauga County, OH",39055,2003,2003,Drug-induced causes,D,11,93042,Unreliable
,"Geauga County, OH",39055,2004,2004,Drug-induced causes,D,19,93218,Unreliable
,"Geauga County, OH",39055,2005,2005,Drug-induced causes,D,16,93614,Unreliable
,"Geauga County, OH",39055,2006,2006,Drug-induced causes,D,20,93839,21.3
,"Geauga County, OH",39055,2007,2007,Drug-induced causes,D,110,93742,117.3
,"Geauga County, OH",39055,2008,2008,Drug-induced causes,D,117,93583,125
,"Geauga County, OH",39055,2009,2009,Drug-induced causes,D,102,93446,109.2
,"Geauga County, OH",39055,2010,2010,Drug-induced causes,D,107,93389,114.6
,"Geauga County, OH",39055,2011,2011,Drug-induced causes,D,129,93228,138.4
,"Geauga County, OH",39055,2012,2012,Drug-induced causes,D,119,93680,127
,"Geauga County, OH",39055,2013,2013,Drug-induced causes,D,120,93972,127.7
,"Geauga County, OH",39055,2014,2014,Drug-induced causes,D,123,94295,130.4
,"Geauga County, OH",39055,2015,2015,Drug-induced causes,D,112,94102,119
,"Geauga County, OH",39055,2016,2016,Drug-induced causes,D,142,94060,151
,"Greene County, OH",39057,1999,1999,Drug-induced causes,D,19,147479,Unreliable
,"Greene County, OH",39057,2000,2000,Drug-induced causes,D,37,147886,25
,"Greene County, OH",39057,2001,2001,Drug-induced causes,D,20,149643,13.4
,"Greene County, OH",39057,2002,2002,Drug-induced causes,D,34,151537,22.4
,"Greene County, OH",39057,2003,2003,Drug-induced causes,D,38,153064,24.8
,"Greene County, OH",39057,2004,2004,Drug-induced causes,D,50,155442,32.2
,"Greene County, OH",39057,2005,2005,Drug-induced causes,D,46,156223,29.4
,"Greene County, OH",39057,2006,2006,Drug-induced causes,D,46,157850,29.1
,"Greene County, OH",39057,2007,2007,Drug-induced causes,D,210,159055,132
,"Greene County, OH",39057,2008,2008,Drug-induced causes,D,269,160115,168
,"Greene County, OH",39057,2009,2009,Drug-induced causes,D,253,161075,157.1
,"Greene County, OH",39057,2010,2010,Drug-induced causes,D,260,161573,160.9
,"Greene County, OH",39057,2011,2011,Drug-induced causes,D,228,162846,140
,"Greene County, OH",39057,2012,2012,Drug-induced causes,D,238,163587,145.5
,"Greene County, OH",39057,2013,2013,Drug-induced causes,D,230,163204,140.9
,"Greene County, OH",39057,2014,2014,Drug-induced causes,D,245,163820,149.6
,"Greene County, OH",39057,2015,2015,Drug-induced causes,D,220,164427,133.8
,"Greene County, OH",39057,2016,2016,Drug-induced causes,D,213,164765,129.3
,"Guernsey County, OH",39059,2002,2002,Drug-induced causes,D,10,40991,Unreliable
,"Guernsey County, OH",39059,2003,2003,Drug-induced causes,D,13,41138,Unreliable
,"Guernsey County, OH",39059,2005,2005,Drug-induced causes,D,20,40752,49.1
,"Guernsey County, OH",39059,2006,2006,Drug-induced causes,D,14,40600,Unreliable
,"Guernsey County, OH",39059,2007,2007,Drug-induced causes,D,76,40531,187.5
,"Guernsey County, OH",39059,2008,2008,Drug-induced causes,D,102,40347,252.8
,"Guernsey County, OH",39059,2009,2009,Drug-induced causes,D,102,40242,253.5
,"Guernsey County, OH",39059,2010,2010,Drug-induced causes,D,106,40087,264.4
,"Guernsey County, OH",39059,2011,2011,Drug-induced causes,D,106,39927,265.5
,"Guernsey County, OH",39059,2012,2012,Drug-induced causes,D,102,39817,256.2
,"Guernsey County, OH",39059,2013,2013,Drug-induced causes,D,125,39636,315.4
,"Guernsey County, OH",39059,2014,2014,Drug-induced causes,D,107,39590,270.3
,"Guernsey County, OH",39059,2015,2015,Drug-induced causes,D,132,39258,336.2
,"Guernsey County, OH",39059,2016,2016,Drug-induced causes,D,123,39063,314.9
,"Hamilton County, OH",39061,1999,1999,Drug-induced causes,D,98,849917,11.5
,"Hamilton County, OH",39061,2000,2000,Drug-induced causes,D,131,845303,15.5
,"Hamilton County, OH",39061,2001,2001,Drug-induced causes,D,159,840335,18.9
,"Hamilton County, OH",39061,2002,2002,Drug-induced causes,D,162,832390,19.5
,"Hamilton County, OH",39061,2003,2003,Drug-induced causes,D,163,825139,19.8
,"Hamilton County, OH",39061,2004,2004,Drug-induced causes,D,191,817306,23.4
,"Hamilton County, OH",39061,2005,2005,Drug-induced causes,D,207,810352,25.5
,"Hamilton County, OH",39061,2006,2006,Drug-induced causes,D,233,804913,28.9
,"Hamilton County, OH",39061,2007,2007,Drug-induced causes,D,1112,801815,138.7
,"Hamilton County, OH",39061,2008,2008,Drug-induced causes,D,1222,799840,152.8
,"Hamilton County, OH",39061,2009,2009,Drug-induced causes,D,1172,802149,146.1
,"Hamilton County, OH",39061,2010,2010,Drug-induced causes,D,1154,802374,143.8
,"Hamilton County, OH",39061,2011,2011,Drug-induced causes,D,1207,800362,150.8
,"Hamilton County, OH",39061,2012,2012,Drug-induced causes,D,1176,802038,146.6
,"Hamilton County, OH",39061,2013,2013,Drug-induced causes,D,1171,804520,145.6
,"Hamilton County, OH",39061,2014,2014,Drug-induced causes,D,1292,806631,160.2
,"Hamilton County, OH",39061,2015,2015,Drug-induced causes,D,1389,807598,172
,"Hamilton County, OH",39061,2016,2016,Drug-induced causes,D,1277,809099,157.8
,"Hancock County, OH",39063,2003,2003,Drug-induced causes,D,13,73118,Unreliable
,"Hancock County, OH",39063,2004,2004,Drug-induced causes,D,24,73532,32.6
,"Hancock County, OH",39063,2005,2005,Drug-induced causes,D,17,73585,Unreliable
,"Hancock County, OH",39063,2006,2006,Drug-induced causes,D,19,74167,Unreliable
,"Hancock County, OH",39063,2007,2007,Drug-induced causes,D,109,74712,145.9
,"Hancock County, OH",39063,2008,2008,Drug-induced causes,D,132,74781,176.5
,"Hancock County, OH",39063,2009,2009,Drug-induced causes,D,132,74964,176.1
,"Hancock County, OH",39063,2010,2010,Drug-induced causes,D,141,74782,188.5
,"Hancock County, OH",39063,2011,2011,Drug-induced causes,D,125,75056,166.5
,"Hancock County, OH",39063,2012,2012,Drug-induced causes,D,97,75671,128.2
,"Hancock County, OH",39063,2013,2013,Drug-induced causes,D,122,75773,161
,"Hancock County, OH",39063,2014,2014,Drug-induced causes,D,124,75337,164.6
,"Hancock County, OH",39063,2015,2015,Drug-induced causes,D,155,75573,205.1
,"Hancock County, OH",39063,2016,2016,Drug-induced causes,D,137,75872,180.6
,"Hardin County, OH",39065,2006,2006,Drug-induced causes,D,13,31939,Unreliable
,"Hardin County, OH",39065,2007,2007,Drug-induced causes,D,55,32132,171.2
,"Hardin County, OH",39065,2008,2008,Drug-induced causes,D,72,32200,223.6
,"Hardin County, OH",39065,2009,2009,Drug-induced causes,D,52,32185,161.6
,"Hardin County, OH",39065,2010,2010,Drug-induced causes,D,62,32058,193.4
,"Hardin County, OH",39065,2011,2011,Drug-induced causes,D,53,32020,165.5
,"Hardin County, OH",39065,2012,2012,Drug-induced causes,D,70,31627,221.3
,"Hardin County, OH",39065,2013,2013,Drug-induced causes,D,57,31641,180.1
,"Hardin County, OH",39065,2014,2014,Drug-induced causes,D,59,31796,185.6
,"Hardin County, OH",39065,2015,2015,Drug-induced causes,D,53,31682,167.3
,"Hardin County, OH",39065,2016,2016,Drug-induced causes,D,77,31474,244.6
,"Harrison County, OH",39067,2007,2007,Drug-induced causes,D,28,15901,176.1
,"Harrison County, OH",39067,2008,2008,Drug-induced causes,D,35,15856,220.7
,"Harrison County, OH",39067,2009,2009,Drug-induced causes,D,31,15860,195.5
,"Harrison County, OH",39067,2010,2010,Drug-induced causes,D,35,15864,220.6
,"Harrison County, OH",39067,2011,2011,Drug-induced causes,D,25,15850,157.7
,"Harrison County, OH",39067,2012,2012,Drug-induced causes,D,32,15714,203.6
,"Harrison County, OH",39067,2013,2013,Drug-induced causes,D,30,15622,192
,"Harrison County, OH",39067,2014,2014,Drug-induced causes,D,35,15543,225.2
,"Harrison County, OH",39067,2015,2015,Drug-induced causes,D,43,15450,278.3
,"Harrison County, OH",39067,2016,2016,Drug-induced causes,D,36,15307,235.2
,"Henry County, OH",39069,2007,2007,Drug-induced causes,D,45,28671,157
,"Henry County, OH",39069,2008,2008,Drug-induced causes,D,41,28523,143.7
,"Henry County, OH",39069,2009,2009,Drug-induced causes,D,26,28322,91.8
,"Henry County, OH",39069,2010,2010,Drug-induced causes,D,45,28215,159.5
,"Henry County, OH",39069,2011,2011,Drug-induced causes,D,54,28064,192.4
,"Henry County, OH",39069,2012,2012,Drug-induced causes,D,47,28045,167.6
,"Henry County, OH",39069,2013,2013,Drug-induced causes,D,45,28092,160.2
,"Henry County, OH",39069,2014,2014,Drug-induced causes,D,52,27937,186.1
,"Henry County, OH",39069,2015,2015,Drug-induced causes,D,57,27816,204.9
,"Henry County, OH",39069,2016,2016,Drug-induced causes,D,46,27629,166.5
,"Highland County, OH",39071,2001,2001,Drug-induced causes,D,15,41295,Unreliable
,"Highland County, OH",39071,2003,2003,Drug-induced causes,D,14,42269,Unreliable
,"Highland County, OH",39071,2004,2004,Drug-induced causes,D,14,42938,Unreliable
,"Highland County, OH",39071,2005,2005,Drug-induced causes,D,16,42967,Unreliable
,"Highland County, OH",39071,2006,2006,Drug-induced causes,D,11,43562,Unreliable
,"Highland County, OH",39071,2007,2007,Drug-induced causes,D,88,43845,200.7
,"Highland County, OH",39071,2008,2008,Drug-induced causes,D,107,43700,244.9
,"Highland County, OH",39071,2009,2009,Drug-induced causes,D,108,43578,247.8
,"Highland County, OH",39071,2010,2010,Drug-induced causes,D,89,43589,204.2
,"Highland County, OH",39071,2011,2011,Drug-induced causes,D,93,43433,214.1
,"Highland County, OH",39071,2012,2012,Drug-induced causes,D,122,42998,283.7
,"Highland County, OH",39071,2013,2013,Drug-induced causes,D,108,43299,249.4
,"Highland County, OH",39071,2014,2014,Drug-induced causes,D,92,43045,213.7
,"Highland County, OH",39071,2015,2015,Drug-induced causes,D,114,43026,265
,"Highland County, OH",39071,2016,2016,Drug-induced causes,D,125,43029,290.5
,"Hocking County, OH",39073,2002,2002,Drug-induced causes,D,10,28653,Unreliable
,"Hocking County, OH",39073,2004,2004,Drug-induced causes,D,11,28962,Unreliable
,"Hocking County, OH",39073,2007,2007,Drug-induced causes,D,72,29418,244.7
,"Hocking County, OH",39073,2008,2008,Drug-induced causes,D,65,29445,220.8
,"Hocking County, OH",39073,2009,2009,Drug-induced causes,D,58,29358,197.6
,"Hocking County, OH",39073,2010,2010,Drug-induced causes,D,64,29380,217.8
,"Hocking County, OH",39073,2011,2011,Drug-induced causes,D,69,29394,234.7
,"Hocking County, OH",39073,2012,2012,Drug-induced causes,D,77,29273,263
,"Hocking County, OH",39073,2013,2013,Drug-induced causes,D,67,28665,233.7
,"Hocking County, OH",39073,2014,2014,Drug-induced causes,D,74,28725,257.6
,"Hocking County, OH",39073,2015,2015,Drug-induced causes,D,59,28491,207.1
,"Hocking County, OH",39073,2016,2016,Drug-induced causes,D,81,28340,285.8
,"Holmes County, OH",39075,2007,2007,Drug-induced causes,D,31,41826,74.1
,"Holmes County, OH",39075,2008,2008,Drug-induced causes,D,33,42029,78.5
,"Holmes County, OH",39075,2009,2009,Drug-induced causes,D,40,42275,94.6
,"Holmes County, OH",39075,2010,2010,Drug-induced causes,D,46,42366,108.6
,"Holmes County, OH",39075,2011,2011,Drug-induced causes,D,39,42746,91.2
,"Holmes County, OH",39075,2012,2012,Drug-induced causes,D,44,43025,102.3
,"Holmes County, OH",39075,2013,2013,Drug-induced causes,D,46,43593,105.5
,"Holmes County, OH",39075,2014,2014,Drug-induced causes,D,42,43898,95.7
,"Holmes County, OH",39075,2015,2015,Drug-induced causes,D,45,43909,102.5
,"Holmes County, OH",39075,2016,2016,Drug-induced causes,D,70,43936,159.3
,"Huron County, OH",39077,1999,1999,Drug-induced causes,D,11,59266,Unreliable
,"Huron County, OH",39077,2000,2000,Drug-induced causes,D,20,59487,33.6
,"Huron County, OH",39077,2001,2001,Drug-induced causes,D,17,59620,Unreliable
,"Huron County, OH",39077,2002,2002,Drug-induced causes,D,22,59917,36.7
,"Huron County, OH",39077,2003,2003,Drug-induced causes,D,25,59947,41.7
,"Huron County, OH",39077,2004,2004,Drug-induced causes,D,28,60011,46.7
,"Huron County, OH",39077,2005,2005,Drug-induced causes,D,18,60116,Unreliable
,"Huron County, OH",39077,2006,2006,Drug-induced causes,D,24,60113,39.9
,"Huron County, OH",39077,2007,2007,Drug-induced causes,D,96,60086,159.8
,"Huron County, OH",39077,2008,2008,Drug-induced causes,D,84,60121,139.7
,"Huron County, OH",39077,2009,2009,Drug-induced causes,D,70,59754,117.1
,"Huron County, OH",39077,2010,2010,Drug-induced causes,D,103,59626,172.7
,"Huron County, OH",39077,2011,2011,Drug-induced causes,D,86,59496,144.5
,"Huron County, OH",39077,2012,2012,Drug-induced causes,D,97,59280,163.6
,"Huron County, OH",39077,2013,2013,Drug-induced causes,D,87,58889,147.7
,"Huron County, OH",39077,2014,2014,Drug-induced causes,D,103,58714,175.4
,"Huron County, OH",39077,2015,2015,Drug-induced causes,D,104,58469,177.9
,"Huron County, OH",39077,2016,2016,Drug-induced causes,D,96,58439,164.3
,"Jackson County, OH",39079,2004,2004,Drug-induced causes,D,12,33025,Unreliable
,"Jackson County, OH",39079,2005,2005,Drug-induced causes,D,10,33242,Unreliable
,"Jackson County, OH",39079,2006,2006,Drug-induced causes,D,17,33135,Unreliable
,"Jackson County, OH",39079,2007,2007,Drug-induced causes,D,89,33144,268.5
,"Jackson County, OH",39079,2008,2008,Drug-induced causes,D,74,33164,223.1
,"Jackson County, OH",39079,2009,2009,Drug-induced causes,D,85,33115,256.7
,"Jackson County, OH",39079,2010,2010,Drug-induced causes,D,90,33225,270.9
,"Jackson County, OH",39079,2011,2011,Drug-induced causes,D,71,33186,213.9
,"Jackson County, OH",39079,2012,2012,Drug-induced causes,D,85,32954,257.9
,"Jackson County, OH",39079,2013,2013,Drug-induced causes,D,94,32783,286.7
,"Jackson County, OH",39079,2014,2014,Drug-induced causes,D,105,32748,320.6
,"Jackson County, OH",39079,2015,2015,Drug-induced causes,D,83,32596,254.6
,"Jackson County, OH",39079,2016,2016,Drug-induced causes,D,95,32505,292.3
,"Jefferson County, OH",39081,1999,1999,Drug-induced causes,D,16,74546,Unreliable
,"Jefferson County, OH",39081,2000,2000,Drug-induced causes,D,19,73894,Unreliable
,"Jefferson County, OH",39081,2001,2001,Drug-induced causes,D,21,73043,28.8
,"Jefferson County, OH",39081,2002,2002,Drug-induced causes,D,26,72416,35.9
,"Jefferson County, OH",39081,2003,2003,Drug-induced causes,D,25,72122,34.7
,"Jefferson County, OH",39081,2004,2004,Drug-induced causes,D,28,71774,39
,"Jefferson County, OH",39081,2005,2005,Drug-induced causes,D,28,71251,39.3
,"Jefferson County, OH",39081,2006,2006,Drug-induced causes,D,29,70656,41
,"Jefferson County, OH",39081,2007,2007,Drug-induced causes,D,164,70114,233.9
,"Jefferson County, OH",39081,2008,2008,Drug-induced causes,D,158,69989,225.7
,"Jefferson County, OH",39081,2009,2009,Drug-induced causes,D,178,69833,254.9
,"Jefferson County, OH",39081,2010,2010,Drug-induced causes,D,161,69709,231
,"Jefferson County, OH",39081,2011,2011,Drug-induced causes,D,176,68828,255.7
,"Jefferson County, OH",39081,2012,2012,Drug-induced causes,D,187,68389,273.4
,"Jefferson County, OH",39081,2013,2013,Drug-induced causes,D,176,67964,259
,"Jefferson County, OH",39081,2014,2014,Drug-induced causes,D,151,67694,223.1
,"Jefferson County, OH",39081,2015,2015,Drug-induced causes,D,140,67347,207.9
,"Jefferson County, OH",39081,2016,2016,Drug-induced causes,D,132,66704,197.9
,"Knox County, OH",39083,2003,2003,Drug-induced causes,D,11,57232,Unreliable
,"Knox County, OH",39083,2004,2004,Drug-induced causes,D,17,57995,Unreliable
,"Knox County, OH",39083,2005,2005,Drug-induced causes,D,13,58641,Unreliable
,"Knox County, OH",39083,2006,2006,Drug-induced causes,D,13,59194,Unreliable
,"Knox County, OH",39083,2007,2007,Drug-induced causes,D,83,59843,138.7
,"Knox County, OH",39083,2008,2008,Drug-induced causes,D,96,60348,159.1
,"Knox County, OH",39083,2009,2009,Drug-induced causes,D,69,60633,113.8
,"Knox County, OH",39083,2010,2010,Drug-induced causes,D,94,60921,154.3
,"Knox County, OH",39083,2011,2011,Drug-induced causes,D,77,61275,125.7
,"Knox County, OH",39083,2012,2012,Drug-induced causes,D,83,60705,136.7
,"Knox County, OH",39083,2013,2013,Drug-induced causes,D,91,60810,149.6
,"Knox County, OH",39083,2014,2014,Drug-induced causes,D,78,61167,127.5
,"Knox County, OH",39083,2015,2015,Drug-induced causes,D,102,61061,167
,"Knox County, OH",39083,2016,2016,Drug-induced causes,D,121,60814,199
,"Lake County, OH",39085,1999,1999,Drug-induced causes,D,19,227605,Unreliable
,"Lake County, OH",39085,2000,2000,Drug-induced causes,D,23,227511,10.1
,"Lake County, OH",39085,2001,2001,Drug-induced causes,D,15,227648,Unreliable
,"Lake County, OH",39085,2002,2002,Drug-induced causes,D,30,227747,13.2
,"Lake County, OH",39085,2003,2003,Drug-induced causes,D,37,227232,16.3
,"Lake County, OH",39085,2004,2004,Drug-induced causes,D,58,227829,25.5
,"Lake County, OH",39085,2005,2005,Drug-induced causes,D,72,227647,31.6
,"Lake County, OH",39085,2006,2006,Drug-induced causes,D,74,228203,32.4
,"Lake County, OH",39085,2007,2007,Drug-induced causes,D,359,228930,156.8
,"Lake County, OH",39085,2008,2008,Drug-induced causes,D,343,229904,149.2
,"Lake County, OH",39085,2009,2009,Drug-induced causes,D,366,229954,159.2
,"Lake County, OH",39085,2010,2010,Drug-induced causes,D,404,230041,175.6
,"Lake County, OH",39085,2011,2011,Drug-induced causes,D,403,229885,175.3
,"Lake County, OH",39085,2012,2012,Drug-induced causes,D,434,229582,189
,"Lake County, OH",39085,2013,2013,Drug-induced causes,D,453,229857,197.1
,"Lake County, OH",39085,2014,2014,Drug-induced causes,D,455,229230,198.5
,"Lake County, OH",39085,2015,2015,Drug-induced causes,D,460,229245,200.7
,"Lake County, OH",39085,2016,2016,Drug-induced causes,D,499,228614,218.3
,"Lawrence County, OH",39087,2001,2001,Drug-induced causes,D,18,61965,Unreliable
,"Lawrence County, OH",39087,2002,2002,Drug-induced causes,D,14,61847,Unreliable
,"Lawrence County, OH",39087,2003,2003,Drug-induced causes,D,13,62197,Unreliable
,"Lawrence County, OH",39087,2004,2004,Drug-induced causes,D,21,62169,33.8
,"Lawrence County, OH",39087,2005,2005,Drug-induced causes,D,19,62476,Unreliable
,"Lawrence County, OH",39087,2006,2006,Drug-induced causes,D,17,62798,Unreliable
,"Lawrence County, OH",39087,2007,2007,Drug-induced causes,D,60,62748,95.6
,"Lawrence County, OH",39087,2008,2008,Drug-induced causes,D,74,62640,118.1
,"Lawrence County, OH",39087,2009,2009,Drug-induced causes,D,48,62667,76.6
,"Lawrence County, OH",39087,2010,2010,Drug-induced causes,D,83,62450,132.9
,"Lawrence County, OH",39087,2011,2011,Drug-induced causes,D,115,62489,184
,"Lawrence County, OH",39087,2012,2012,Drug-induced causes,D,121,62109,194.8
,"Lawrence County, OH",39087,2013,2013,Drug-induced causes,D,123,61917,198.7
,"Lawrence County, OH",39087,2014,2014,Drug-induced causes,D,103,61623,167.1
,"Lawrence County, OH",39087,2015,2015,Drug-induced causes,D,161,61109,263.5
,"Lawrence County, OH",39087,2016,2016,Drug-induced causes,D,179,60872,294.1
,"Licking County, OH",39089,1999,1999,Drug-induced causes,D,21,143697,14.6
,"Licking County, OH",39089,2000,2000,Drug-induced causes,D,32,145491,22
,"Licking County, OH",39089,2001,2001,Drug-induced causes,D,44,148226,29.7
,"Licking County, OH",39089,2002,2002,Drug-induced causes,D,36,150061,24
,"Licking County, OH",39089,2003,2003,Drug-induced causes,D,34,152582,22.3
,"Licking County, OH",39089,2004,2004,Drug-induced causes,D,47,155264,30.3
,"Licking County, OH",39089,2005,2005,Drug-induced causes,D,49,157950,31
,"Licking County, OH",39089,2006,2006,Drug-induced causes,D,65,160263,40.6
,"Licking County, OH",39089,2007,2007,Drug-induced causes,D,275,162375,169.4
,"Licking County, OH",39089,2008,2008,Drug-induced causes,D,317,163916,193.4
,"Licking County, OH",39089,2009,2009,Drug-induced causes,D,301,165283,182.1
,"Licking County, OH",39089,2010,2010,Drug-induced causes,D,293,166492,176
,"Licking County, OH",39089,2011,2011,Drug-induced causes,D,339,167248,202.7
,"Licking County, OH",39089,2012,2012,Drug-induced causes,D,316,167537,188.6
,"Licking County, OH",39089,2013,2013,Drug-induced causes,D,364,168375,216.2
,"Licking County, OH",39089,2014,2014,Drug-induced causes,D,380,169390,224.3
,"Licking County, OH",39089,2015,2015,Drug-induced causes,D,496,170570,290.8
,"Licking County, OH",39089,2016,2016,Drug-induced causes,D,423,172198,245.6
,"Logan County, OH",39091,2001,2001,Drug-induced causes,D,10,45865,Unreliable
,"Logan County, OH",39091,2003,2003,Drug-induced causes,D,10,46257,Unreliable
,"Logan County, OH",39091,2004,2004,Drug-induced causes,D,11,46247,Unreliable
,"Logan County, OH",39091,2005,2005,Drug-induced causes,D,14,46066,Unreliable
,"Logan County, OH",39091,2006,2006,Drug-induced causes,D,12,45902,Unreliable
,"Logan County, OH",39091,2007,2007,Drug-induced causes,D,78,46154,169
,"Logan County, OH",39091,2008,2008,Drug-induced causes,D,113,46115,245
,"Logan County, OH",39091,2009,2009,Drug-induced causes,D,91,46055,197.6
,"Logan County, OH",39091,2010,2010,Drug-induced causes,D,82,45858,178.8
,"Logan County, OH",39091,2011,2011,Drug-induced causes,D,89,45688,194.8
,"Logan County, OH",39091,2012,2012,Drug-induced causes,D,94,45474,206.7
,"Logan County, OH",39091,2013,2013,Drug-induced causes,D,106,45481,233.1
,"Logan County, OH",39091,2014,2014,Drug-induced causes,D,103,45507,226.3
,"Logan County, OH",39091,2015,2015,Drug-induced causes,D,113,45386,249
,"Logan County, OH",39091,2016,2016,Drug-induced causes,D,103,45165,228.1
,"Lorain County, OH",39093,1999,1999,Drug-induced causes,D,32,283364,11.3
,"Lorain County, OH",39093,2000,2000,Drug-induced causes,D,31,284664,10.9
,"Lorain County, OH",39093,2001,2001,Drug-induced causes,D,35,285827,12.2
,"Lorain County, OH",39093,2002,2002,Drug-induced causes,D,46,287489,16
,"Lorain County, OH",39093,2003,2003,Drug-induced causes,D,38,290622,13.1
,"Lorain County, OH",39093,2004,2004,Drug-induced causes,D,56,292125,19.2
,"Lorain County, OH",39093,2005,2005,Drug-induced causes,D,57,294873,19.3
,"Lorain County, OH",39093,2006,2006,Drug-induced causes,D,56,297259,18.8
,"Lorain County, OH",39093,2007,2007,Drug-induced causes,D,375,298609,125.6
,"Lorain County, OH",39093,2008,2008,Drug-induced causes,D,376,299814,125.4
,"Lorain County, OH",39093,2009,2009,Drug-induced causes,D,429,300893,142.6
,"Lorain County, OH",39093,2010,2010,Drug-induced causes,D,392,301356,130.1
