Cause of death,Cause of death Code,Year,Deaths,Population,Crude Rate,Age Adjusted Rate
Other myeloid leukaemia - Malignant neoplasms,C92.7,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
Other myeloid leukaemia - Malignant neoplasms,C92.7,2013,23,11572232,0.2,0.2
Other myeloid leukaemia - Malignant neoplasms,C92.7,2014,25,11596998,0.2,0.2
Other myeloid leukaemia - Malignant neoplasms,C92.7,2015,30,11613423,0.3,0.2
Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,2011,80,11545442,0.7,0.6
Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,2012,93,11551783,0.8,0.7
Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,2013,79,11572232,0.7,0.6
Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,2014,82,11596998,0.7,0.6
Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,2015,74,11613423,0.6,0.5
Chronic leukaemia of unspecified cell type - Malignant neoplasms,C95.1,2015,14,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Leukaemia, unspecified - Malignant neoplasms",C95.9,2011,116,11545442,1,0.9
"Leukaemia, unspecified - Malignant neoplasms",C95.9,2012,98,11551783,0.8,0.7
"Leukaemia, unspecified - Malignant neoplasms",C95.9,2013,125,11572232,1.1,0.9
"Leukaemia, unspecified - Malignant neoplasms",C95.9,2014,118,11596998,1,0.9
"Leukaemia, unspecified - Malignant neoplasms",C95.9,2015,97,11613423,0.8,0.7
Malignant neoplasms of independent (primary) multiple sites,C97,2011,204,11545442,1.8,1.5
Malignant neoplasms of independent (primary) multiple sites,C97,2012,179,11551783,1.5,1.3
Malignant neoplasms of independent (primary) multiple sites,C97,2013,174,11572232,1.5,1.2
Malignant neoplasms of independent (primary) multiple sites,C97,2014,146,11596998,1.3,1
Malignant neoplasms of independent (primary) multiple sites,C97,2015,151,11613423,1.3,1
Cerebral meninges - Benign neoplasms,D32.0,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
Cerebral meninges - Benign neoplasms,D32.0,2013,16,11572232,0.1 (Unreliable),0.1 (Unreliable)
Cerebral meninges - Benign neoplasms,D32.0,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Meninges, unspecified - Benign neoplasms",D32.9,2011,24,11545442,0.2,0.2
"Meninges, unspecified - Benign neoplasms",D32.9,2012,27,11551783,0.2,0.2
"Meninges, unspecified - Benign neoplasms",D32.9,2013,22,11572232,0.2,0.2
"Meninges, unspecified - Benign neoplasms",D32.9,2014,27,11596998,0.2,0.2
"Meninges, unspecified - Benign neoplasms",D32.9,2015,27,11613423,0.2,0.2
"Liver, gallbladder and bile ducts - Uncertain neoplasms",D37.6,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
Other digestive organs - Uncertain neoplasms,D37.7,2011,17,11545442,0.1 (Unreliable),0.1 (Unreliable)
Other digestive organs - Uncertain neoplasms,D37.7,2012,17,11551783,0.1 (Unreliable),0.1 (Unreliable)
Other digestive organs - Uncertain neoplasms,D37.7,2013,10,11572232,0.1 (Unreliable),0.1 (Unreliable)
Other digestive organs - Uncertain neoplasms,D37.7,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
Other digestive organs - Uncertain neoplasms,D37.7,2015,18,11613423,0.2 (Unreliable),0.1 (Unreliable)
"Trachea, bronchus and lung - Uncertain neoplasms",D38.1,2011,28,11545442,0.2,0.2
"Trachea, bronchus and lung - Uncertain neoplasms",D38.1,2012,29,11551783,0.3,0.2
"Trachea, bronchus and lung - Uncertain neoplasms",D38.1,2013,28,11572232,0.2,0.2
"Trachea, bronchus and lung - Uncertain neoplasms",D38.1,2014,26,11596998,0.2,0.2
"Trachea, bronchus and lung - Uncertain neoplasms",D38.1,2015,54,11613423,0.5,0.4
"Brain, unspecified - Uncertain neoplasms",D43.2,2011,113,11545442,1,0.9
"Brain, unspecified - Uncertain neoplasms",D43.2,2012,126,11551783,1.1,0.9
"Brain, unspecified - Uncertain neoplasms",D43.2,2013,107,11572232,0.9,0.8
"Brain, unspecified - Uncertain neoplasms",D43.2,2014,113,11596998,1,0.8
"Brain, unspecified - Uncertain neoplasms",D43.2,2015,102,11613423,0.9,0.7
Polycythaemia vera,D45,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Polycythaemia vera,D45,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
Polycythaemia vera,D45,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,2011,262,11545442,2.3,1.9
"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,2012,306,11551783,2.6,2.2
"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,2013,300,11572232,2.6,2.1
"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,2014,298,11596998,2.6,2.1
"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,2015,247,11613423,2.1,1.7
Chronic myeloproliferative disease - Uncertain neoplasms,D47.1,2011,58,11545442,0.5,0.4
Chronic myeloproliferative disease - Uncertain neoplasms,D47.1,2012,54,11551783,0.5,0.4
Chronic myeloproliferative disease - Uncertain neoplasms,D47.1,2013,53,11572232,0.5,0.4
Chronic myeloproliferative disease - Uncertain neoplasms,D47.1,2014,57,11596998,0.5,0.4
Chronic myeloproliferative disease - Uncertain neoplasms,D47.1,2015,72,11613423,0.6,0.5
Connective and other soft tissue - Uncertain neoplasms,D48.1,2011,16,11545442,0.1 (Unreliable),0.1 (Unreliable)
Connective and other soft tissue - Uncertain neoplasms,D48.1,2012,24,11551783,0.2,0.2
Connective and other soft tissue - Uncertain neoplasms,D48.1,2013,19,11572232,0.2 (Unreliable),0.1 (Unreliable)
Connective and other soft tissue - Uncertain neoplasms,D48.1,2014,21,11596998,0.2,0.2
Connective and other soft tissue - Uncertain neoplasms,D48.1,2015,20,11613423,0.2,0.2
Other specified sites - Uncertain neoplasms,D48.7,2011,14,11545442,0.1 (Unreliable),0.1 (Unreliable)
Other specified sites - Uncertain neoplasms,D48.7,2014,13,11596998,0.1 (Unreliable),0.1 (Unreliable)
Other specified sites - Uncertain neoplasms,D48.7,2015,14,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms",D48.9,2011,16,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms",D48.9,2012,28,11551783,0.2,0.2
"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms",D48.9,2013,15,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms",D48.9,2014,19,11596998,0.2 (Unreliable),0.1 (Unreliable)
"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms",D48.9,2015,23,11613423,0.2,0.2
Iron deficiency anaemia secondary to blood loss (chronic),D50.0,2011,14,11545442,0.1 (Unreliable),0.1 (Unreliable)
Iron deficiency anaemia secondary to blood loss (chronic),D50.0,2015,11,11613423,0.1 (Unreliable),0.1 (Unreliable)
Sickle-cell anaemia without crisis,D57.1,2011,17,11545442,0.1 (Unreliable),0.2 (Unreliable)
Sickle-cell anaemia without crisis,D57.1,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
Sickle-cell anaemia without crisis,D57.1,2013,15,11572232,0.1 (Unreliable),0.1 (Unreliable)
Sickle-cell anaemia without crisis,D57.1,2015,18,11613423,0.2 (Unreliable),0.2 (Unreliable)
"Aplastic anaemia, unspecified",D61.9,2011,47,11545442,0.4,0.4
"Aplastic anaemia, unspecified",D61.9,2012,54,11551783,0.5,0.4
"Aplastic anaemia, unspecified",D61.9,2013,40,11572232,0.3,0.3
"Aplastic anaemia, unspecified",D61.9,2014,33,11596998,0.3,0.2
"Aplastic anaemia, unspecified",D61.9,2015,33,11613423,0.3,0.2
Acute posthaemorrhagic anaemia,D62,2011,12,11545442,0.1 (Unreliable),0.1 (Unreliable)
Acute posthaemorrhagic anaemia,D62,2012,14,11551783,0.1 (Unreliable),0.1 (Unreliable)
Acute posthaemorrhagic anaemia,D62,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
Acute posthaemorrhagic anaemia,D62,2015,16,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Anaemia, unspecified",D64.9,2011,132,11545442,1.1,0.9
"Anaemia, unspecified",D64.9,2012,138,11551783,1.2,1
"Anaemia, unspecified",D64.9,2013,133,11572232,1.1,0.9
"Anaemia, unspecified",D64.9,2014,133,11596998,1.1,0.9
"Anaemia, unspecified",D64.9,2015,153,11613423,1.3,1
Disseminated intravascular coagulation [defibrination syndrome],D65,2011,17,11545442,0.1 (Unreliable),0.1 (Unreliable)
Disseminated intravascular coagulation [defibrination syndrome],D65,2012,18,11551783,0.2 (Unreliable),0.1 (Unreliable)
Disseminated intravascular coagulation [defibrination syndrome],D65,2013,22,11572232,0.2,0.2
Disseminated intravascular coagulation [defibrination syndrome],D65,2014,21,11596998,0.2,0.2
Disseminated intravascular coagulation [defibrination syndrome],D65,2015,17,11613423,0.1 (Unreliable),0.1 (Unreliable)
Hereditary factor VIII deficiency,D66,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Coagulation defect, unspecified",D68.9,2011,42,11545442,0.4,0.3
"Coagulation defect, unspecified",D68.9,2012,52,11551783,0.5,0.4
"Coagulation defect, unspecified",D68.9,2013,50,11572232,0.4,0.4
"Coagulation defect, unspecified",D68.9,2014,55,11596998,0.5,0.4
"Coagulation defect, unspecified",D68.9,2015,35,11613423,0.3,0.2
Idiopathic thrombocytopenic purpura,D69.3,2011,15,11545442,0.1 (Unreliable),0.1 (Unreliable)
Idiopathic thrombocytopenic purpura,D69.3,2012,11,11551783,0.1 (Unreliable),0.1 (Unreliable)
Idiopathic thrombocytopenic purpura,D69.3,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Thrombocytopenia, unspecified",D69.6,2011,17,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Thrombocytopenia, unspecified",D69.6,2012,16,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Thrombocytopenia, unspecified",D69.6,2014,18,11596998,0.2 (Unreliable),0.1 (Unreliable)
"Thrombocytopenia, unspecified",D69.6,2015,16,11613423,0.1 (Unreliable),0.1 (Unreliable)
Agranulocytosis,D70,2011,15,11545442,0.1 (Unreliable),0.1 (Unreliable)
Agranulocytosis,D70,2012,11,11551783,0.1 (Unreliable),0.1 (Unreliable)
Agranulocytosis,D70,2013,19,11572232,0.2 (Unreliable),0.1 (Unreliable)
Agranulocytosis,D70,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
Agranulocytosis,D70,2015,18,11613423,0.2 (Unreliable),0.1 (Unreliable)
"Sarcoidosis, unspecified",D86.9,2011,48,11545442,0.4,0.4
"Sarcoidosis, unspecified",D86.9,2012,30,11551783,0.3,0.2
"Sarcoidosis, unspecified",D86.9,2013,38,11572232,0.3,0.3
"Sarcoidosis, unspecified",D86.9,2014,39,11596998,0.3,0.3
"Sarcoidosis, unspecified",D86.9,2015,27,11613423,0.2,0.2
"Hypothyroidism, unspecified",E03.9,2011,52,11545442,0.5,0.4
"Hypothyroidism, unspecified",E03.9,2012,70,11551783,0.6,0.5
"Hypothyroidism, unspecified",E03.9,2013,63,11572232,0.5,0.4
"Hypothyroidism, unspecified",E03.9,2014,75,11596998,0.6,0.5
"Hypothyroidism, unspecified",E03.9,2015,58,11613423,0.5,0.4
"Insulin-dependent diabetes mellitus, with ketoacidosis",E10.1,2012,15,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Insulin-dependent diabetes mellitus, with ketoacidosis",E10.1,2013,16,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Insulin-dependent diabetes mellitus, with ketoacidosis",E10.1,2014,13,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Insulin-dependent diabetes mellitus, with ketoacidosis",E10.1,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Insulin-dependent diabetes mellitus, with renal complications",E10.2,2011,60,11545442,0.5,0.5
"Insulin-dependent diabetes mellitus, with renal complications",E10.2,2012,47,11551783,0.4,0.4
"Insulin-dependent diabetes mellitus, with renal complications",E10.2,2013,52,11572232,0.4,0.4
"Insulin-dependent diabetes mellitus, with renal complications",E10.2,2014,55,11596998,0.5,0.4
"Insulin-dependent diabetes mellitus, with renal complications",E10.2,2015,55,11613423,0.5,0.4
"Insulin-dependent diabetes mellitus, with multiple complications",E10.7,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Insulin-dependent diabetes mellitus, with multiple complications",E10.7,2014,18,11596998,0.2 (Unreliable),0.1 (Unreliable)
"Insulin-dependent diabetes mellitus, with multiple complications",E10.7,2015,17,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Insulin-dependent diabetes mellitus, without complications",E10.9,2011,131,11545442,1.1,1
"Insulin-dependent diabetes mellitus, without complications",E10.9,2012,108,11551783,0.9,0.8
"Insulin-dependent diabetes mellitus, without complications",E10.9,2013,108,11572232,0.9,0.8
"Insulin-dependent diabetes mellitus, without complications",E10.9,2014,88,11596998,0.8,0.6
"Insulin-dependent diabetes mellitus, without complications",E10.9,2015,95,11613423,0.8,0.7
"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,2011,264,11545442,2.3,2
"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,2012,257,11551783,2.2,1.9
"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,2013,338,11572232,2.9,2.4
"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,2014,326,11596998,2.8,2.3
"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,2015,385,11613423,3.3,2.6
"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",E11.5,2011,55,11545442,0.5,0.4
"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",E11.5,2012,33,11551783,0.3,0.2
"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",E11.5,2013,44,11572232,0.4,0.3
"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",E11.5,2014,56,11596998,0.5,0.4
"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",E11.5,2015,57,11613423,0.5,0.4
"Non-insulin-dependent diabetes mellitus, with multiple complications",E11.7,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Non-insulin-dependent diabetes mellitus, with multiple complications",E11.7,2013,48,11572232,0.4,0.3
"Non-insulin-dependent diabetes mellitus, with multiple complications",E11.7,2014,50,11596998,0.4,0.4
"Non-insulin-dependent diabetes mellitus, with multiple complications",E11.7,2015,51,11613423,0.4,0.3
"Non-insulin-dependent diabetes mellitus, without complications",E11.9,2011,787,11545442,6.8,5.7
"Non-insulin-dependent diabetes mellitus, without complications",E11.9,2012,745,11551783,6.4,5.3
"Non-insulin-dependent diabetes mellitus, without complications",E11.9,2013,624,11572232,5.4,4.4
"Non-insulin-dependent diabetes mellitus, without complications",E11.9,2014,629,11596998,5.4,4.4
"Non-insulin-dependent diabetes mellitus, without complications",E11.9,2015,681,11613423,5.9,4.6
"Unspecified diabetes mellitus, with coma",E14.0,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Unspecified diabetes mellitus, with coma",E14.0,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Unspecified diabetes mellitus, with ketoacidosis",E14.1,2011,98,11545442,0.8,0.8
"Unspecified diabetes mellitus, with ketoacidosis",E14.1,2012,84,11551783,0.7,0.7
"Unspecified diabetes mellitus, with ketoacidosis",E14.1,2013,84,11572232,0.7,0.7
"Unspecified diabetes mellitus, with ketoacidosis",E14.1,2014,108,11596998,0.9,0.9
"Unspecified diabetes mellitus, with ketoacidosis",E14.1,2015,99,11613423,0.9,0.8
"Unspecified diabetes mellitus, with renal complications",E14.2,2011,539,11545442,4.7,4
"Unspecified diabetes mellitus, with renal complications",E14.2,2012,553,11551783,4.8,4
"Unspecified diabetes mellitus, with renal complications",E14.2,2013,662,11572232,5.7,4.7
"Unspecified diabetes mellitus, with renal complications",E14.2,2014,633,11596998,5.5,4.4
"Unspecified diabetes mellitus, with renal complications",E14.2,2015,624,11613423,5.4,4.3
"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,2011,84,11545442,0.7,0.6
"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,2012,80,11551783,0.7,0.6
"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,2013,95,11572232,0.8,0.7
"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,2014,103,11596998,0.9,0.7
"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,2015,108,11613423,0.9,0.7
"Unspecified diabetes mellitus, with other specified complications",E14.6,2011,18,11545442,0.2 (Unreliable),0.1 (Unreliable)
"Unspecified diabetes mellitus, with other specified complications",E14.6,2012,26,11551783,0.2,0.2
"Unspecified diabetes mellitus, with other specified complications",E14.6,2013,20,11572232,0.2,0.1
"Unspecified diabetes mellitus, with other specified complications",E14.6,2014,15,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Unspecified diabetes mellitus, with multiple complications",E14.7,2011,15,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Unspecified diabetes mellitus, with multiple complications",E14.7,2012,18,11551783,0.2 (Unreliable),0.1 (Unreliable)
"Unspecified diabetes mellitus, with multiple complications",E14.7,2013,91,11572232,0.8,0.6
"Unspecified diabetes mellitus, with multiple complications",E14.7,2014,116,11596998,1,0.8
"Unspecified diabetes mellitus, with multiple complications",E14.7,2015,90,11613423,0.8,0.6
"Unspecified diabetes mellitus, without complications",E14.9,2011,1551,11545442,13.4,11.3
"Unspecified diabetes mellitus, without complications",E14.9,2012,1607,11551783,13.9,11.5
"Unspecified diabetes mellitus, without complications",E14.9,2013,1325,11572232,11.4,9.4
"Unspecified diabetes mellitus, without complications",E14.9,2014,1379,11596998,11.9,9.6
"Unspecified diabetes mellitus, without complications",E14.9,2015,1314,11613423,11.3,9
"Hypoglycaemia, unspecified",E16.2,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Hypoglycaemia, unspecified",E16.2,2012,15,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Hypoglycaemia, unspecified",E16.2,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Hypoglycaemia, unspecified",E16.2,2014,14,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Hypoglycaemia, unspecified",E16.2,2015,16,11613423,0.1 (Unreliable),0.1 (Unreliable)
Unspecified severe protein-energy malnutrition,E43,2011,39,11545442,0.3,0.3
Unspecified severe protein-energy malnutrition,E43,2012,34,11551783,0.3,0.2
Unspecified severe protein-energy malnutrition,E43,2013,45,11572232,0.4,0.3
Unspecified severe protein-energy malnutrition,E43,2014,46,11596998,0.4,0.3
Unspecified severe protein-energy malnutrition,E43,2015,76,11613423,0.7,0.5
Retarded development following protein-energy malnutrition,E45,2011,19,11545442,0.2 (Unreliable),0.1 (Unreliable)
Retarded development following protein-energy malnutrition,E45,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
Retarded development following protein-energy malnutrition,E45,2014,13,11596998,0.1 (Unreliable),0.1 (Unreliable)
Retarded development following protein-energy malnutrition,E45,2015,16,11613423,0.1 (Unreliable),0.1 (Unreliable)
Unspecified protein-energy malnutrition,E46,2011,87,11545442,0.8,0.6
Unspecified protein-energy malnutrition,E46,2012,91,11551783,0.8,0.7
Unspecified protein-energy malnutrition,E46,2013,100,11572232,0.9,0.7
Unspecified protein-energy malnutrition,E46,2014,131,11596998,1.1,0.9
Unspecified protein-energy malnutrition,E46,2015,187,11613423,1.6,1.3
Other obesity,E66.8,2011,138,11545442,1.2,1.1
Other obesity,E66.8,2012,139,11551783,1.2,1.1
Other obesity,E66.8,2013,157,11572232,1.4,1.2
Other obesity,E66.8,2014,152,11596998,1.3,1.2
Other obesity,E66.8,2015,161,11613423,1.4,1.2
"Obesity, unspecified",E66.9,2011,96,11545442,0.8,0.7
"Obesity, unspecified",E66.9,2012,107,11551783,0.9,0.8
"Obesity, unspecified",E66.9,2013,114,11572232,1,0.9
"Obesity, unspecified",E66.9,2014,109,11596998,0.9,0.8
"Obesity, unspecified",E66.9,2015,109,11613423,0.9,0.8
Pure hypercholesterolaemia,E78.0,2011,136,11545442,1.2,1
Pure hypercholesterolaemia,E78.0,2012,137,11551783,1.2,1
Pure hypercholesterolaemia,E78.0,2013,153,11572232,1.3,1.1
Pure hypercholesterolaemia,E78.0,2014,117,11596998,1,0.8
Pure hypercholesterolaemia,E78.0,2015,105,11613423,0.9,0.7
"Hyperlipidaemia, unspecified",E78.5,2011,583,11545442,5,4.2
"Hyperlipidaemia, unspecified",E78.5,2012,570,11551783,4.9,4
"Hyperlipidaemia, unspecified",E78.5,2013,551,11572232,4.8,3.9
"Hyperlipidaemia, unspecified",E78.5,2014,595,11596998,5.1,4.1
"Hyperlipidaemia, unspecified",E78.5,2015,602,11613423,5.2,4
Disorders of iron metabolism,E83.1,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Disorders of calcium metabolism,E83.5,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Disorders of calcium metabolism,E83.5,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
Disorders of calcium metabolism,E83.5,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
Disorders of calcium metabolism,E83.5,2015,18,11613423,0.2 (Unreliable),0.1 (Unreliable)
Cystic fibrosis with other manifestations,E84.8,2011,16,11545442,0.1 (Unreliable),0.1 (Unreliable)
Cystic fibrosis with other manifestations,E84.8,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
Cystic fibrosis with other manifestations,E84.8,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
Organ-limited amyloidosis,E85.4,2011,33,11545442,0.3,0.2
Organ-limited amyloidosis,E85.4,2012,28,11551783,0.2,0.2
Organ-limited amyloidosis,E85.4,2013,39,11572232,0.3,0.3
Organ-limited amyloidosis,E85.4,2014,43,11596998,0.4,0.3
Organ-limited amyloidosis,E85.4,2015,37,11613423,0.3,0.3
"Amyloidosis, unspecified",E85.9,2011,20,11545442,0.2,0.1
"Amyloidosis, unspecified",E85.9,2012,20,11551783,0.2,0.1
"Amyloidosis, unspecified",E85.9,2013,36,11572232,0.3,0.3
"Amyloidosis, unspecified",E85.9,2014,29,11596998,0.3,0.2
"Amyloidosis, unspecified",E85.9,2015,29,11613423,0.2,0.2
Volume depletion,E86,2011,88,11545442,0.8,0.6
Volume depletion,E86,2012,87,11551783,0.8,0.6
Volume depletion,E86,2013,80,11572232,0.7,0.5
Volume depletion,E86,2014,66,11596998,0.6,0.5
Volume depletion,E86,2015,47,11613423,0.4,0.3
Hyperosmolality and hypernatraemia,E87.0,2011,20,11545442,0.2,0.1
Hyperosmolality and hypernatraemia,E87.0,2012,16,11551783,0.1 (Unreliable),0.1 (Unreliable)
Hyperosmolality and hypernatraemia,E87.0,2013,23,11572232,0.2,0.2
Hyperosmolality and hypernatraemia,E87.0,2014,28,11596998,0.2,0.2
Hyperosmolality and hypernatraemia,E87.0,2015,25,11613423,0.2,0.2
Hypo-osmolality and hyponatraemia,E87.1,2011,19,11545442,0.2 (Unreliable),0.1 (Unreliable)
Hypo-osmolality and hyponatraemia,E87.1,2012,20,11551783,0.2,0.1
Hypo-osmolality and hyponatraemia,E87.1,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
Hypo-osmolality and hyponatraemia,E87.1,2014,13,11596998,0.1 (Unreliable),0.1 (Unreliable)
Acidosis,E87.2,2011,48,11545442,0.4,0.3
Acidosis,E87.2,2012,63,11551783,0.5,0.5
Acidosis,E87.2,2013,67,11572232,0.6,0.5
Acidosis,E87.2,2014,77,11596998,0.7,0.5
Acidosis,E87.2,2015,66,11613423,0.6,0.5
Hyperkalaemia,E87.5,2011,26,11545442,0.2,0.2
Hyperkalaemia,E87.5,2012,17,11551783,0.1 (Unreliable),0.1 (Unreliable)
Hyperkalaemia,E87.5,2013,19,11572232,0.2 (Unreliable),0.1 (Unreliable)
Hyperkalaemia,E87.5,2014,23,11596998,0.2,0.2
Hyperkalaemia,E87.5,2015,29,11613423,0.2,0.2
"Other disorders of electrolyte and fluid balance, not elsewhere classified",E87.8,2011,27,11545442,0.2,0.2
"Other disorders of electrolyte and fluid balance, not elsewhere classified",E87.8,2012,28,11551783,0.2,0.2
"Other disorders of electrolyte and fluid balance, not elsewhere classified",E87.8,2013,22,11572232,0.2,0.2
"Other disorders of electrolyte and fluid balance, not elsewhere classified",E87.8,2014,17,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Other disorders of electrolyte and fluid balance, not elsewhere classified",E87.8,2015,21,11613423,0.2,0.1
"Disorders of plasma-protein metabolism, not elsewhere classified",E88.0,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Disorders of plasma-protein metabolism, not elsewhere classified",E88.0,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Disorders of plasma-protein metabolism, not elsewhere classified",E88.0,2015,15,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Metabolic disorder, unspecified",E88.9,2011,33,11545442,0.3,0.2
"Metabolic disorder, unspecified",E88.9,2012,61,11551783,0.5,0.4
"Metabolic disorder, unspecified",E88.9,2013,70,11572232,0.6,0.5
"Metabolic disorder, unspecified",E88.9,2014,83,11596998,0.7,0.6
"Metabolic disorder, unspecified",E88.9,2015,135,11613423,1.2,0.9
Multi-infarct dementia,F01.1,2011,56,11545442,0.5,0.4
Multi-infarct dementia,F01.1,2012,62,11551783,0.5,0.4
Multi-infarct dementia,F01.1,2013,47,11572232,0.4,0.3
Multi-infarct dementia,F01.1,2014,43,11596998,0.4,0.3
Multi-infarct dementia,F01.1,2015,42,11613423,0.4,0.3
"Vascular dementia, unspecified",F01.9,2011,486,11545442,4.2,3.4
"Vascular dementia, unspecified",F01.9,2012,447,11551783,3.9,3.2
"Vascular dementia, unspecified",F01.9,2013,573,11572232,5,3.9
"Vascular dementia, unspecified",F01.9,2014,672,11596998,5.8,4.6
"Vascular dementia, unspecified",F01.9,2015,668,11613423,5.8,4.5
Unspecified dementia,F03,2011,5464,11545442,47.3,38.5
Unspecified dementia,F03,2012,5912,11551783,51.2,41
Unspecified dementia,F03,2013,6255,11572232,54.1,42.7
Unspecified dementia,F03,2014,5964,11596998,51.4,40.2
Unspecified dementia,F03,2015,5432,11613423,46.8,36.2
Delirium superimposed on dementia,F05.1,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
Delirium superimposed on dementia,F05.1,2012,17,11551783,0.1 (Unreliable),0.1 (Unreliable)
Delirium superimposed on dementia,F05.1,2013,18,11572232,0.2 (Unreliable),0.1 (Unreliable)
Delirium superimposed on dementia,F05.1,2014,17,11596998,0.1 (Unreliable),0.1 (Unreliable)
Delirium superimposed on dementia,F05.1,2015,15,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Delirium, unspecified",F05.9,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Delirium, unspecified",F05.9,2012,14,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Delirium, unspecified",F05.9,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Delirium, unspecified",F05.9,2014,15,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Delirium, unspecified",F05.9,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
Unspecified mental disorder due to brain damage and dysfunction and to physical disease,F06.9,2011,43,11545442,0.4,0.3
