Year,Race,Race Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,Age Adjusted Rate
2003,White,2106-3,Malignant neoplasm of parotid gland,C07,19,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,"Tonsil, unspecified - Malignant neoplasms",C09.9,28,9814964,0.3,0.3
2003,White,2106-3,"Oropharynx, unspecified - Malignant neoplasms",C10.9,17,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,"Nasopharynx, unspecified - Malignant neoplasms",C11.9,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Pharynx, unspecified - Malignant neoplasms",C14.0,44,9814964,0.4,0.4
2003,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,536,9814964,5.5,4.9
2003,White,2106-3,Cardia - Malignant neoplasms,C16.0,27,9814964,0.3,0.2
2003,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,314,9814964,3.2,2.9
2003,White,2106-3,Duodenum - Malignant neoplasms,C17.0,24,9814964,0.2,0.2
2003,White,2106-3,"Small intestine, unspecified - Malignant neoplasms",C17.9,13,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Caecum - Malignant neoplasms,C18.0,17,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,Appendix - Malignant neoplasms,C18.1,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Ascending colon - Malignant neoplasms,C18.2,14,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Sigmoid colon - Malignant neoplasms,C18.7,24,9814964,0.2,0.2
2003,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,1845,9814964,18.8,16.6
2003,White,2106-3,Malignant neoplasm of rectosigmoid junction,C19,112,9814964,1.1,1
2003,White,2106-3,Malignant neoplasm of rectum,C20,265,9814964,2.7,2.4
2003,White,2106-3,"Anus, unspecified - Malignant neoplasms",C21.0,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,141,9814964,1.4,1.3
2003,White,2106-3,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,131,9814964,1.3,1.2
2003,White,2106-3,"Liver, unspecified - Malignant neoplasms",C22.9,159,9814964,1.6,1.4
2003,White,2106-3,Malignant neoplasm of gallbladder,C23,67,9814964,0.7,0.6
2003,White,2106-3,Extrahepatic bile duct - Malignant neoplasms,C24.0,33,9814964,0.3,0.3
2003,White,2106-3,Ampulla of Vater - Malignant neoplasms,C24.1,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Biliary tract, unspecified - Malignant neoplasms",C24.9,27,9814964,0.3,0.2
2003,White,2106-3,"Pancreas, unspecified - Malignant neoplasms",C25.9,1160,9814964,11.8,10.5
2003,White,2106-3,"Intestinal tract, part unspecified - Malignant neoplasms",C26.0,15,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,37,9814964,0.4,0.3
2003,White,2106-3,"Accessory sinus, unspecified - Malignant neoplasms",C31.9,13,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Supraglottis - Malignant neoplasms,C32.1,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Larynx, unspecified - Malignant neoplasms",C32.9,131,9814964,1.3,1.2
2003,White,2106-3,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,28,9814964,0.3,0.3
2003,White,2106-3,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,6573,9814964,67,59.5
2003,White,2106-3,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,27,9814964,0.3,0.3
2003,White,2106-3,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,291,9814964,3,2.7
2003,White,2106-3,Skin of scalp and neck - Malignant neoplasms,C44.4,33,9814964,0.3,0.3
2003,White,2106-3,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,31,9814964,0.3,0.3
2003,White,2106-3,Mesothelioma of other sites - Malignant neoplasms,C45.7,15,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,98,9814964,1,0.9
2003,White,2106-3,"Peritoneum, unspecified - Malignant neoplasms",C48.2,29,9814964,0.3,0.3
2003,White,2106-3,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,116,9814964,1.2,1.1
2003,White,2106-3,"Breast, unspecified - Malignant neoplasms",C50.9,1726,9814964,17.6,15.7
2003,White,2106-3,"Vulva, unspecified - Malignant neoplasms",C51.9,34,9814964,0.3,0.3
2003,White,2106-3,Malignant neoplasm of vagina,C52,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,137,9814964,1.4,1.3
2003,White,2106-3,Endometrium - Malignant neoplasms,C54.1,133,9814964,1.4,1.2
2003,White,2106-3,"Malignant neoplasm of uterus, part unspecified",C55,138,9814964,1.4,1.2
2003,White,2106-3,Malignant neoplasm of ovary,C56,613,9814964,6.2,5.6
2003,White,2106-3,Malignant neoplasm of prostate,C61,1031,9814964,10.5,9.2
2003,White,2106-3,"Testis, unspecified - Malignant neoplasms",C62.9,16,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,"Malignant neoplasm of kidney, except renal pelvis",C64,514,9814964,5.2,4.6
2003,White,2106-3,Malignant neoplasm of ureter,C66,12,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Bladder, unspecified - Malignant neoplasms",C67.9,588,9814964,6,5.3
2003,White,2106-3,"Urinary organ, unspecified - Malignant neoplasms",C68.9,14,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Brain, unspecified - Malignant neoplasms",C71.9,473,9814964,4.8,4.4
2003,White,2106-3,Malignant neoplasm of thyroid gland,C73,48,9814964,0.5,0.4
2003,White,2106-3,"Adrenal gland, unspecified - Malignant neoplasms",C74.9,14,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Head, face and neck - Malignant neoplasms",C76.0,22,9814964,0.2,0.2
2003,White,2106-3,Abdomen - Malignant neoplasms,C76.2,26,9814964,0.3,0.2
2003,White,2106-3,Pelvis - Malignant neoplasms,C76.3,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,C78.6,14,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,91,9814964,0.9,0.8
2003,White,2106-3,Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,C79.3,34,9814964,0.3,0.3
2003,White,2106-3,Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms,C79.5,18,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,97,9814964,1,0.9
2003,White,2106-3,Malignant neoplasm without specification of site,C80,1078,9814964,11,9.8
2003,White,2106-3,"Hodgkin's disease, unspecified - Malignant neoplasms",C81.9,60,9814964,0.6,0.6
2003,White,2106-3,Small cell (diffuse) - Malignant neoplasms,C83.0,10,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Small cleaved cell (diffuse) - Malignant neoplasms,C83.1,29,9814964,0.3,0.3
2003,White,2106-3,Large cell (diffuse) - Malignant neoplasms,C83.3,35,9814964,0.4,0.3
2003,White,2106-3,Burkitt's tumour - Malignant neoplasms,C83.7,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,17,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,36,9814964,0.4,0.3
2003,White,2106-3,"Non-Hodgkin's lymphoma, unspecified type - Malignant neoplasms",C85.9,774,9814964,7.9,7
2003,White,2106-3,Waldenstrom's macroglobulinaemia - Malignant neoplasms,C88.0,22,9814964,0.2,0.2
2003,White,2106-3,Multiple myeloma - Malignant neoplasms,C90.0,385,9814964,3.9,3.5
2003,White,2106-3,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,64,9814964,0.7,0.6
2003,White,2106-3,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,191,9814964,1.9,1.7
2003,White,2106-3,Acute myeloid leukaemia - Malignant neoplasms,C92.0,328,9814964,3.3,3
2003,White,2106-3,Chronic myeloid leukaemia - Malignant neoplasms,C92.1,56,9814964,0.6,0.5
2003,White,2106-3,Acute myelomonocytic leukaemia - Malignant neoplasms,C92.5,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Other myeloid leukaemia - Malignant neoplasms,C92.7,16,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,120,9814964,1.2,1.1
2003,White,2106-3,"Leukaemia, unspecified - Malignant neoplasms",C95.9,97,9814964,1,0.9
2003,White,2106-3,Malignant neoplasms of independent (primary) multiple sites,C97,215,9814964,2.2,1.9
2003,White,2106-3,"Meninges, unspecified - Benign neoplasms",D32.9,18,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,"Trachea, bronchus and lung - Uncertain neoplasms",D38.1,36,9814964,0.4,0.3
2003,White,2106-3,"Brain, supratentorial - Uncertain neoplasms",D43.0,10,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Brain, unspecified - Uncertain neoplasms",D43.2,127,9814964,1.3,1.2
2003,White,2106-3,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,171,9814964,1.7,1.5
2003,White,2106-3,Chronic myeloproliferative disease - Uncertain neoplasms,D47.1,70,9814964,0.7,0.6
2003,White,2106-3,Other specified sites - Uncertain neoplasms,D48.7,16,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Hereditary haemolytic anaemia, unspecified",D58.9,10,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Aplastic anaemia, unspecified",D61.9,41,9814964,0.4,0.4
2003,White,2106-3,"Anaemia, unspecified",D64.9,132,9814964,1.3,1.2
2003,White,2106-3,Disseminated intravascular coagulation [defibrination syndrome],D65,17,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,"Coagulation defect, unspecified",D68.9,44,9814964,0.4,0.4
2003,White,2106-3,"Thrombocytopenia, unspecified",D69.6,33,9814964,0.3,0.3
2003,White,2106-3,Agranulocytosis,D70,20,9814964,0.2,0.2
2003,White,2106-3,"Immunodeficiency, unspecified",D84.9,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Sarcoidosis, unspecified",D86.9,14,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Hypothyroidism, unspecified",E03.9,85,9814964,0.9,0.8
2003,White,2106-3,"Thyrotoxicosis, unspecified",E05.9,10,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Insulin-dependent diabetes mellitus, with ketoacidosis",E10.1,10,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Insulin-dependent diabetes mellitus, with peripheral circulatory complications",E10.5,41,9814964,0.4,0.4
2003,White,2106-3,"Insulin-dependent diabetes mellitus, without complications",E10.9,243,9814964,2.5,2.2
2003,White,2106-3,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,19,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,"Non-insulin-dependent diabetes mellitus, with neurological complications",E11.4,10,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",E11.5,91,9814964,0.9,0.8
2003,White,2106-3,"Non-insulin-dependent diabetes mellitus, with multiple complications",E11.7,12,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,694,9814964,7.1,6.2
2003,White,2106-3,"Unspecified diabetes mellitus, with ketoacidosis",E14.1,51,9814964,0.5,0.5
2003,White,2106-3,"Unspecified diabetes mellitus, with renal complications",E14.2,61,9814964,0.6,0.6
2003,White,2106-3,"Unspecified diabetes mellitus, with neurological complications",E14.4,15,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,222,9814964,2.3,2
2003,White,2106-3,"Unspecified diabetes mellitus, with other specified complications",E14.6,12,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Unspecified diabetes mellitus, with multiple complications",E14.7,16,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,1597,9814964,16.3,14.4
2003,White,2106-3,Unspecified severe protein-energy malnutrition,E43,18,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,Unspecified protein-energy malnutrition,E46,138,9814964,1.4,1.2
2003,White,2106-3,Other obesity,E66.8,72,9814964,0.7,0.7
2003,White,2106-3,"Obesity, unspecified",E66.9,76,9814964,0.8,0.7
2003,White,2106-3,Pure hypercholesterolaemia,E78.0,88,9814964,0.9,0.8
2003,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,269,9814964,2.7,2.4
2003,White,2106-3,Disorders of iron metabolism,E83.1,12,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Disorders of calcium metabolism,E83.5,15,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Cystic fibrosis with pulmonary manifestations,E84.0,14,9814964,0.1 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,Organ-limited amyloidosis,E85.4,14,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Amyloidosis, unspecified",E85.9,17,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,Volume depletion,E86,246,9814964,2.5,2.2
2003,White,2106-3,Hyperosmolality and hypernatraemia,E87.0,28,9814964,0.3,0.2
2003,White,2106-3,Acidosis,E87.2,35,9814964,0.4,0.3
2003,White,2106-3,Hyperkalaemia,E87.5,15,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Other disorders of electrolyte and fluid balance, not elsewhere classified",E87.8,41,9814964,0.4,0.4
2003,White,2106-3,"Disorders of plasma-protein metabolism, not elsewhere classified",E88.0,10,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Metabolic disorder, unspecified",E88.9,23,9814964,0.2,0.2
2003,White,2106-3,Unspecified dementia,F03,2278,9814964,23.2,20.2
2003,White,2106-3,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,F06.9,69,9814964,0.7,0.6
2003,White,2106-3,"Mental and behavioural disorders due to use of alcohol, acute intoxication",F10.0,16,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,53,9814964,0.5,0.5
2003,White,2106-3,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,75,9814964,0.8,0.7
2003,White,2106-3,"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder",F10.9,12,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Mental and behavioural disorders due to use of cocaine, harmful use",F14.1,19,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder",F17.9,17,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Schizophrenia, unspecified",F20.9,21,9814964,0.2,0.2
2003,White,2106-3,"Depressive episode, unspecified",F32.9,49,9814964,0.5,0.4
2003,White,2106-3,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,F54,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Unspecified mental retardation,F79,16,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,"Meningitis, unspecified",G03.9,12,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Encephalitis, myelitis and encephalomyelitis, unspecified",G04.9,15,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Huntington's disease,G10,44,9814964,0.4,0.4
2003,White,2106-3,Motor neuron disease,G12.2,285,9814964,2.9,2.6
2003,White,2106-3,Parkinson's disease,G20,795,9814964,8.1,7.1
2003,White,2106-3,Alzheimer's disease with late onset,G30.1,86,9814964,0.9,0.8
2003,White,2106-3,"Alzheimer's disease, unspecified",G30.9,2622,9814964,26.7,23.3
2003,White,2106-3,Circumscribed brain atrophy,G31.0,10,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Degenerative disease of nervous system, unspecified",G31.9,32,9814964,0.3,0.3
2003,White,2106-3,Multiple sclerosis,G35,181,9814964,1.8,1.6
2003,White,2106-3,"Epilepsy, unspecified",G40.9,16,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,"Status epilepticus, unspecified",G41.9,18,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,"Transient cerebral ischaemic attack, unspecified",G45.9,12,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Sleep apnoea,G47.3,14,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Myasthenia gravis,G70.0,19,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,Muscular dystrophy,G71.0,25,9814964,0.3,0.3
2003,White,2106-3,Myotonic disorders,G71.1,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Infantile cerebral palsy, unspecified",G80.9,37,9814964,0.4,0.4
2003,White,2106-3,"Tetraplegia, unspecified",G82.5,12,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Multi-system degeneration,G90.3,12,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Normal-pressure hydrocephalus,G91.2,15,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Hydrocephalus, unspecified",G91.9,15,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,177,9814964,1.8,1.6
2003,White,2106-3,"Encephalopathy, unspecified",G93.4,44,9814964,0.4,0.4
2003,White,2106-3,Cerebral oedema,G93.6,14,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Other specified disorders of brain,G93.8,12,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Disorder of brain, unspecified",G93.9,13,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Mitral stenosis,I05.0,24,9814964,0.2,0.2
2003,White,2106-3,"Mitral valve disease, unspecified",I05.9,34,9814964,0.3,0.3
2003,White,2106-3,Disorders of both mitral and aortic valves,I08.0,48,9814964,0.5,0.4
2003,White,2106-3,"Rheumatic heart disease, unspecified",I09.9,19,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,Essential (primary) hypertension,I10,554,9814964,5.6,4.9
2003,White,2106-3,Hypertensive heart disease with (congestive) heart failure,I11.0,336,9814964,3.4,3
2003,White,2106-3,Hypertensive heart disease without (congestive) heart failure,I11.9,547,9814964,5.6,5
2003,White,2106-3,Hypertensive renal disease with renal failure,I12.0,294,9814964,3,2.6
2003,White,2106-3,Hypertensive heart and renal disease with renal failure,I13.1,39,9814964,0.4,0.4
2003,White,2106-3,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13.2,85,9814964,0.9,0.8
2003,White,2106-3,"Angina pectoris, unspecified",I20.9,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Acute myocardial infarction, unspecified",I21.9,6778,9814964,69.1,60.9
2003,White,2106-3,Other forms of acute ischaemic heart disease,I24.8,31,9814964,0.3,0.3
2003,White,2106-3,"Acute ischaemic heart disease, unspecified",I24.9,27,9814964,0.3,0.3
2003,White,2106-3,"Atherosclerotic cardiovascular disease, so described",I25.0,1709,9814964,17.4,15.4
2003,White,2106-3,Atherosclerotic heart disease,I25.1,10115,9814964,103.1,90.5
2003,White,2106-3,Old myocardial infarction,I25.2,16,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Ischaemic cardiomyopathy,I25.5,502,9814964,5.1,4.5
2003,White,2106-3,Other forms of chronic ischaemic heart disease,I25.8,68,9814964,0.7,0.6
2003,White,2106-3,"Chronic ischaemic heart disease, unspecified",I25.9,315,9814964,3.2,2.8
2003,White,2106-3,Pulmonary embolism without mention of acute cor pulmonale,I26.9,285,9814964,2.9,2.6
2003,White,2106-3,Primary pulmonary hypertension,I27.0,21,9814964,0.2,0.2
2003,White,2106-3,Other secondary pulmonary hypertension,I27.2,131,9814964,1.3,1.2
2003,White,2106-3,"Pulmonary heart disease, unspecified",I27.9,54,9814964,0.6,0.5
2003,White,2106-3,Acute and subacute infective endocarditis,I33.0,44,9814964,0.4,0.4
2003,White,2106-3,Mitral (valve) insufficiency,I34.0,92,9814964,0.9,0.8
2003,White,2106-3,Mitral (valve) prolapse,I34.1,14,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Aortic (valve) stenosis,I35.0,420,9814964,4.3,3.7
2003,White,2106-3,Aortic (valve) insufficiency,I35.1,16,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Other aortic valve disorders,I35.8,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Aortic valve disorder, unspecified",I35.9,72,9814964,0.7,0.6
2003,White,2106-3,"Endocarditis, valve unspecified",I38,218,9814964,2.2,2
2003,White,2106-3,Dilated cardiomyopathy,I42.0,140,9814964,1.4,1.3
2003,White,2106-3,Other hypertrophic cardiomyopathy,I42.2,56,9814964,0.6,0.5
2003,White,2106-3,Alcoholic cardiomyopathy,I42.6,16,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Cardiomyopathy, unspecified",I42.9,774,9814964,7.9,7
2003,White,2106-3,"Atrioventricular block, complete",I44.2,15,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Sudden cardiac death, so described",I46.1,128,9814964,1.3,1.2
2003,White,2106-3,"Cardiac arrest, unspecified",I46.9,534,9814964,5.4,4.8
2003,White,2106-3,Ventricular tachycardia,I47.2,26,9814964,0.3,0.2
2003,White,2106-3,Atrial fibrillation and flutter,I48,507,9814964,5.2,4.5
2003,White,2106-3,Ventricular fibrillation and flutter,I49.0,53,9814964,0.5,0.5
2003,White,2106-3,"Cardiac arrhythmia, unspecified",I49.9,326,9814964,3.3,2.9
2003,White,2106-3,Congestive heart failure,I50.0,2238,9814964,22.8,19.9
2003,White,2106-3,"Heart failure, unspecified",I50.9,132,9814964,1.3,1.2
2003,White,2106-3,"Myocarditis, unspecified",I51.4,22,9814964,0.2,0.2
2003,White,2106-3,Myocardial degeneration,I51.5,15,9814964,0.2 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Cardiovascular disease, unspecified",I51.6,68,9814964,0.7,0.6
2003,White,2106-3,Cardiomegaly,I51.7,51,9814964,0.5,0.5
2003,White,2106-3,Other ill-defined heart diseases,I51.8,36,9814964,0.4,0.3
2003,White,2106-3,"Heart disease, unspecified",I51.9,119,9814964,1.2,1.1
2003,White,2106-3,"Subarachnoid haemorrhage from intracranial artery, unspecified",I60.7,13,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Subarachnoid haemorrhage, unspecified",I60.9,204,9814964,2.1,1.9
2003,White,2106-3,Intracerebral haemorrhage in brain stem,I61.3,12,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Intracerebral haemorrhage in cerebellum,I61.4,20,9814964,0.2,0.2
2003,White,2106-3,"Intracerebral haemorrhage, intraventricular",I61.5,22,9814964,0.2,0.2
2003,White,2106-3,"Intracerebral haemorrhage, unspecified",I61.9,634,9814964,6.5,5.7
2003,White,2106-3,Subdural haemorrhage (acute)(nontraumatic),I62.0,81,9814964,0.8,0.7
2003,White,2106-3,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,252,9814964,2.6,2.3
2003,White,2106-3,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63.2,40,9814964,0.4,0.4
2003,White,2106-3,Cerebral infarction due to thrombosis of cerebral arteries,I63.3,78,9814964,0.8,0.7
2003,White,2106-3,Cerebral infarction due to embolism of cerebral arteries,I63.4,20,9814964,0.2,0.2
2003,White,2106-3,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,13,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Other cerebral infarction,I63.8,24,9814964,0.2,0.2
2003,White,2106-3,"Cerebral infarction, unspecified",I63.9,335,9814964,3.4,3
2003,White,2106-3,"Stroke, not specified as haemorrhage or infarction",I64,3126,9814964,31.8,27.8
2003,White,2106-3,"Cerebral aneurysm, nonruptured",I67.1,18,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,Cerebral atherosclerosis,I67.2,35,9814964,0.4,0.3
2003,White,2106-3,Other specified cerebrovascular diseases,I67.8,52,9814964,0.5,0.5
2003,White,2106-3,"Cerebrovascular disease, unspecified",I67.9,276,9814964,2.8,2.5
2003,White,2106-3,Sequelae of intracerebral haemorrhage,I69.1,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,Sequelae of cerebral infarction,I69.3,29,9814964,0.3,0.3
2003,White,2106-3,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,447,9814964,4.6,4
2003,White,2106-3,Sequelae of other and unspecified cerebrovascular diseases,I69.8,342,9814964,3.5,3
2003,White,2106-3,Atherosclerosis of arteries of extremities,I70.2,22,9814964,0.2,0.2
2003,White,2106-3,Generalized and unspecified atherosclerosis,I70.9,491,9814964,5,4.3
2003,White,2106-3,Dissection of aorta [any part],I71.0,156,9814964,1.6,1.4
2003,White,2106-3,"Thoracic aortic aneurysm, ruptured",I71.1,41,9814964,0.4,0.4
2003,White,2106-3,"Thoracic aortic aneurysm, without mention of rupture",I71.2,29,9814964,0.3,0.3
2003,White,2106-3,"Abdominal aortic aneurysm, ruptured",I71.3,207,9814964,2.1,1.9
2003,White,2106-3,"Abdominal aortic aneurysm, without mention of rupture",I71.4,108,9814964,1.1,1
2003,White,2106-3,"Aortic aneurysm of unspecified site, ruptured",I71.8,58,9814964,0.6,0.5
2003,White,2106-3,"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,38,9814964,0.4,0.3
2003,White,2106-3,Aneurysm of unspecified site,I72.9,13,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Peripheral vascular disease, unspecified",I73.9,325,9814964,3.3,2.9
2003,White,2106-3,Embolism and thrombosis of unspecified artery,I74.9,17,9814964,0.2 (Unreliable),0.2 (Unreliable)
2003,White,2106-3,Stricture of artery,I77.1,14,9814964,0.1 (Unreliable),0.1 (Unreliable)
2003,White,2106-3,"Arteritis, unspecified",I77.6,11,9814964,0.1 (Unreliable),0.1 (Unreliable)
