Year,Race,Sex,Average Life Expectancy (Years),Age-adjusted Death Rate
1960,Black,Male,61.1,"1,777.60"
1959,Black,Male,61.3,"1,724.70"
1958,Black,Male,61,"1,779.20"
1957,Black,Male,60.7,"1,797.00"
1956,Black,Male,61.3,"1,724.10"
1955,Black,Male,61.4,"1,707.50"
1954,Black,Male,61.1,"1,726.60"
1953,Black,Male,59.7,"1,863.10"
1952,Black,Male,59.1,"1,894.10"
1951,Black,Male,59.2,"1,903.40"
1950,Black,Male,59.1,"1,949.50"
1949,Black,Male,58.9,"1,915.40"
1948,Black,Male,58.1,"1,954.30"
1947,Black,Male,57.9,"1,922.80"
1946,Black,Male,57.5,"1,878.60"
1945,Black,Male,56.1,"2,002.70"
1944,Black,Male,55.8,"2,084.90"
1943,Black,Male,55.4,"2,189.90"
1942,Black,Male,55.4,"2,187.80"
1941,Black,Male,52.5,"2,351.10"
1940,Black,Male,51.5,"2,458.90"
1939,Black,Male,53.2,"2,328.10"
1938,Black,Male,51.7,"2,384.30"
1937,Black,Male,48.3,"2,596.10"
1936,Black,Male,47,"2,722.40"
1935,Black,Male,51.3,"2,502.90"
1934,Black,Male,50.2,"2,567.50"
1933,Black,Male,53.5,"2,452.10"
1932,Black,Male,52.8,"2,550.00"
1931,Black,Male,49.5,"2,680.30"
1930,Black,Male,47.3,"2,845.50"
1929,Black,Male,45.7,"3,012.60"
1928,Black,Male,45.6,"2,980.30"
1927,Black,Male,47.6,"2,801.10"
1926,Black,Male,43.7,"3,054.70"
1925,Black,Male,44.9,"3,000.70"
1924,Black,Male,45.5,"2,947.00"
1923,Black,Male,47.7,"2,803.90"
1922,Black,Male,51.8,"2,560.40"
1921,Black,Male,51.6,"2,461.20"
1920,Black,Male,45.5,"2,748.40"
1919,Black,Male,44.5,"2,650.00"
1918,Black,Male,29.9,"3,532.50"
1917,Black,Male,37,"3,172.80"
1916,Black,Male,39.6,"3,035.10"
1915,Black,Male,37.5,"3,104.10"
1914,Black,Male,37.1,"3,017.40"
1913,Black,Male,36.7,"3,011.90"
1912,Black,Male,35.9,"3,114.20"
1911,Black,Male,34.6,"3,094.20"
1910,Black,Male,33.8,"3,087.50"
1909,Black,Male,34.2,"3,149.00"
1908,Black,Male,33.8,"3,140.00"
1907,Black,Male,31.1,"3,408.10"
1906,Black,Male,31.8,"3,341.00"
1905,Black,Male,29.6,"3,654.70"
1904,Black,Male,29.1,"3,845.70"
1903,Black,Male,31.7,"3,546.50"
1902,Black,Male,32.9,"3,399.80"
1901,Black,Male,32.2,"3,524.80"
1900,Black,Male,32.5,"3,576.50"
2015,White,Both Sexes,79,735
2014,White,Both Sexes,79.1,725.4
2013,White,Both Sexes,79.1,731
2012,White,Both Sexes,79.1,730.9
2011,White,Both Sexes,79,738.8
2010,White,Both Sexes,78.9,741.8
2009,White,Both Sexes,78.8,742.8
2008,White,Both Sexes,78.5,767.2
2007,White,Both Sexes,78.5,764.3
2006,White,Both Sexes,78.3,779.3
2005,White,Both Sexes,78,801.1
2004,White,Both Sexes,78.1,798.5
2003,White,Both Sexes,77.7,827.1
2002,White,Both Sexes,77.5,839
2001,White,Both Sexes,77.5,840.7
2000,White,Both Sexes,77.3,849.8
1999,White,Both Sexes,77.3,854.6
1998,White,Both Sexes,77.3,848.9
1997,White,Both Sexes,77.1,855.4
1996,White,Both Sexes,76.8,868.7
1995,White,Both Sexes,76.5,882
1994,White,Both Sexes,76.5,885.3
1993,White,Both Sexes,76.3,896.8
1992,White,Both Sexes,76.5,877.5
1991,White,Both Sexes,76.3,893
1990,White,Both Sexes,76.1,909.2
1989,White,Both Sexes,75.9,919.8
1988,White,Both Sexes,75.6,947.2
1987,White,Both Sexes,75.6,943.2
1986,White,Both Sexes,75.4,952.8
1985,White,Both Sexes,75.3,963.4
1984,White,Both Sexes,75.3,959.4
1983,White,Both Sexes,75.2,967.4
1982,White,Both Sexes,75.1,963.5
1981,White,Both Sexes,74.8,984
1980,White,Both Sexes,74.4,"1,012.50"
1979,White,Both Sexes,74.6,986.8
1978,White,Both Sexes,74.1,"1,020.10"
1977,White,Both Sexes,74,"1,027.10"
1976,White,Both Sexes,73.6,"1,060.00"
1975,White,Both Sexes,73.4,"1,069.40"
1974,White,Both Sexes,72.8,"1,125.20"
1973,White,Both Sexes,72.2,"1,171.50"
1972,White,Both Sexes,72,"1,185.30"
1971,White,Both Sexes,72,"1,183.80"
1970,White,Both Sexes,71.7,"1,193.30"
1969,White,Both Sexes,71.4,"1,240.20"
1968,White,Both Sexes,71.1,"1,271.40"
1967,White,Both Sexes,71.4,"1,246.40"
1966,White,Both Sexes,71.1,"1,278.70"
1965,White,Both Sexes,71.1,"1,278.30"
1964,White,Both Sexes,71,"1,275.20"
1963,White,Both Sexes,70.8,"1,312.50"
1962,White,Both Sexes,70.9,"1,292.40"
1961,White,Both Sexes,71,"1,272.20"
1960,White,Both Sexes,70.6,"1,311.30"
1959,White,Both Sexes,70.7,"1,291.90"
1958,White,Both Sexes,70.5,"1,316.30"
1957,White,Both Sexes,70.3,"1,328.70"
1956,White,Both Sexes,70.5,"1,309.00"
1955,White,Both Sexes,70.5,"1,308.30"
1954,White,Both Sexes,70.5,"1,288.60"
1953,White,Both Sexes,69.7,"1,354.60"
1952,White,Both Sexes,69.5,"1,361.70"
1951,White,Both Sexes,69.3,"1,391.00"
1950,White,Both Sexes,69.1,"1,410.80"
1949,White,Both Sexes,68.8,"1,424.30"
1948,White,Both Sexes,68,"1,469.90"
1947,White,Both Sexes,67.6,"1,503.50"
1946,White,Both Sexes,67.5,"1,505.00"
1945,White,Both Sexes,66.8,"1,544.30"
1944,White,Both Sexes,66.2,"1,582.80"
1943,White,Both Sexes,64.2,"1,665.80"
1942,White,Both Sexes,67.3,"1,594.80"
1941,White,Both Sexes,66.2,"1,645.00"
1940,White,Both Sexes,64.2,"1,735.30"
1939,White,Both Sexes,64.9,"1,724.00"
1938,White,Both Sexes,65,"1,714.80"
1937,White,Both Sexes,61.4,"1,829.10"
1936,White,Both Sexes,59.8,"1,906.60"
1935,White,Both Sexes,62.9,"1,809.90"
1934,White,Both Sexes,62.4,"1,834.00"
1933,White,Both Sexes,64.3,"1,800.50"
1932,White,Both Sexes,63.2,"1,845.10"
1931,White,Both Sexes,62.6,"1,832.50"
1930,White,Both Sexes,61.4,"1,870.70"
1929,White,Both Sexes,58.6,"2,006.80"
1928,White,Both Sexes,58.4,"2,053.00"
1927,White,Both Sexes,62,"1,925.60"
1926,White,Both Sexes,58.2,"2,078.80"
1925,White,Both Sexes,60.7,"1,999.10"
1924,White,Both Sexes,61.4,"1,968.70"
1923,White,Both Sexes,58.3,"2,087.00"
1922,White,Both Sexes,60.4,"2,004.40"
1921,White,Both Sexes,61.8,"1,914.90"
1920,White,Both Sexes,54.9,"2,096.30"
1919,White,Both Sexes,55.8,"2,005.60"
1918,White,Both Sexes,39.8,"2,477.70"
1917,White,Both Sexes,52,"2,221.50"
1916,White,Both Sexes,52.5,"2,223.90"
1915,White,Both Sexes,55.1,"2,139.40"
1914,White,Both Sexes,54.9,"2,116.80"
1913,White,Both Sexes,53,"2,176.70"
1912,White,Both Sexes,53.9,"2,187.90"
1911,White,Both Sexes,53,"2,221.30"
1910,White,Both Sexes,50.3,"2,299.40"
1909,White,Both Sexes,52.5,"2,228.50"
1908,White,Both Sexes,51.5,"2,278.10"
1907,White,Both Sexes,48.1,"2,470.80"
1906,White,Both Sexes,49.3,"2,374.80"
1905,White,Both Sexes,49.1,"2,404.10"
1904,White,Both Sexes,48,"2,481.90"
1903,White,Both Sexes,50.9,"2,359.80"
1902,White,Both Sexes,51.9,"2,284.30"
1901,White,Both Sexes,49.4,"2,456.20"
1900,White,Both Sexes,47.6,"2,501.20"
2015,White,Female,81.3,627
2014,White,Female,81.4,617.6
2013,White,Female,81.4,623.6
2012,White,Female,81.4,623.8
2011,White,Female,81.3,630.3
2010,White,Female,81.3,630.8
2009,White,Female,81.2,631.3
2008,White,Female,80.9,653.7
2007,White,Female,80.9,649.4
2006,White,Female,80.7,662.3
2005,White,Female,80.5,680.9
2004,White,Female,80.5,677.7
2003,White,Female,80.2,701.6
2002,White,Female,80.1,709.3
2001,White,Female,80,710.4
2000,White,Female,79.9,715.3
1999,White,Female,79.9,716.6
1998,White,Female,80,706.9
1997,White,Female,79.9,707.5
1996,White,Female,79.7,713.3
1995,White,Female,79.6,718.4
1994,White,Female,79.6,717.3
1993,White,Female,79.5,723.9
1992,White,Female,79.8,703.9
1991,White,Female,79.6,715.9
1990,White,Female,79.4,728.3
1989,White,Female,79.2,738.3
1988,White,Female,78.9,758.7
1987,White,Female,78.9,753.2
1986,White,Female,78.8,758
1985,White,Female,78.7,764.2
1984,White,Female,78.7,760.5
1983,White,Female,78.7,764.1
1982,White,Female,78.7,758.6
1981,White,Female,78.4,773.6
1980,White,Female,78.1,796
1979,White,Female,78.4,770.1
1978,White,Female,78,796.6
1977,White,Female,77.9,799.7
1976,White,Female,77.5,828.9
1975,White,Female,77.3,834.1
1974,White,Female,76.7,884.2
1973,White,Female,76.1,921.4
1972,White,Female,75.9,932.9
1971,White,Female,75.8,933.4
1970,White,Female,75.6,944
1969,White,Female,75.3,984.2
1968,White,Female,75,"1,012.20"
1967,White,Female,75.2,992.9
1966,White,Female,74.8,"1,024.70"
1965,White,Female,74.8,"1,026.70"
1964,White,Female,74.7,"1,030.90"
1963,White,Female,74.4,"1,062.60"
1962,White,Female,74.5,"1,052.60"
1961,White,Female,74.6,"1,038.80"
1960,White,Female,74.1,"1,074.40"
1959,White,Female,74.2,"1,065.30"
1958,White,Female,73.9,"1,090.80"
1957,White,Female,73.7,"1,104.10"
1956,White,Female,73.9,"1,089.90"
1955,White,Female,73.7,"1,095.40"
1954,White,Female,73.7,"1,081.80"
1953,White,Female,73,"1,141.00"
1952,White,Female,72.6,"1,153.30"
1951,White,Female,72.4,"1,179.10"
1950,White,Female,72.2,"1,198.00"
1949,White,Female,71.9,"1,217.30"
1948,White,Female,71,"1,263.70"
1947,White,Female,70.5,"1,301.60"
1946,White,Female,70.3,"1,315.20"
1945,White,Female,69.5,"1,344.70"
1944,White,Female,68.4,"1,391.10"
1943,White,Female,65.7,"1,469.10"
1942,White,Female,69.4,"1,403.60"
1941,White,Female,68.5,"1,453.20"
1940,White,Female,66.6,"1,550.40"
1939,White,Female,66.6,"1,556.80"
1938,White,Female,66.8,"1,549.40"
1937,White,Female,63.8,"1,644.30"
1936,White,Female,61.9,"1,727.40"
1935,White,Female,65,"1,642.00"
1934,White,Female,64.6,"1,668.10"
1933,White,Female,66.3,"1,649.40"
1932,White,Female,64.5,"1,707.30"
1931,White,Female,64.7,"1,681.80"
1930,White,Female,63.5,"1,726.60"
1929,White,Female,60.3,"1,869.90"
1928,White,Female,60,"1,920.20"
1927,White,Female,63.9,"1,800.40"
1926,White,Female,59.6,"1,963.80"
1925,White,Female,62.4,"1,890.50"
1924,White,Female,63.4,"1,860.60"
1923,White,Female,59.6,"1,995.90"
1922,White,Female,61.9,"1,917.70"
1921,White,Female,62.9,"1,842.30"
1920,White,Female,55.6,"2,025.90"
1919,White,Female,57.4,"1,915.10"
1918,White,Female,43.2,"2,274.90"
1917,White,Female,55.3,"2,063.30"
1916,White,Female,55.2,"2,078.30"
1915,White,Female,57.5,"2,008.40"
1914,White,Female,57.5,"1,976.10"
1913,White,Female,55.7,"2,027.60"
1912,White,Female,56.2,"2,045.10"
1911,White,Female,54.9,"2,088.30"
1910,White,Female,52,"2,154.00"
1909,White,Female,54.2,"2,092.10"
1908,White,Female,53.3,"2,141.80"
1907,White,Female,50.4,"2,303.80"
1906,White,Female,51.4,"2,220.80"
1905,White,Female,50.6,"2,269.00"
1904,White,Female,49.5,"2,339.70"
1903,White,Female,52.5,"2,231.50"
1902,White,Female,53.8,"2,146.40"
1901,White,Female,51,"2,334.70"
1900,White,Female,48.7,"2,394.00"
2015,White,Male,76.6,861.9
2014,White,Male,76.7,853.4
2013,White,Male,76.7,859.2
2012,White,Male,76.7,860
2011,White,Male,76.6,870.2
2010,White,Male,76.5,878.5
2009,White,Male,76.4,880.5
2008,White,Male,76.1,907.1
2007,White,Male,76,907.1
2006,White,Male,75.8,925.8
2005,White,Male,75.5,952.9
2004,White,Male,75.5,953.2
2003,White,Male,75.1,988.8
2002,White,Male,74.9,"1,009.00"
2001,White,Male,74.9,"1,012.10"
2000,White,Male,74.7,"1,029.40"
1999,White,Male,74.6,"1,040.10"
1998,White,Male,74.5,"1,041.60"
1997,White,Male,74.3,"1,058.70"
1996,White,Male,73.9,"1,082.50"
1995,White,Male,73.4,"1,107.20"
1994,White,Male,73.3,"1,118.40"
1993,White,Male,73.1,"1,138.70"
1992,White,Male,73.2,"1,122.20"
1991,White,Male,72.9,"1,142.80"
1990,White,Male,72.7,"1,165.30"
1989,White,Male,72.5,"1,176.00"
1988,White,Male,72.2,"1,215.50"
1987,White,Male,72.1,"1,213.10"
1986,White,Male,71.9,"1,230.50"
1985,White,Male,71.8,"1,249.50"
1984,White,Male,71.8,"1,245.50"
1983,White,Male,71.6,"1,259.80"
1982,White,Male,71.5,"1,255.90"
1981,White,Male,71.1,"1,282.40"
1980,White,Male,70.7,"1,317.40"
1979,White,Male,70.8,"1,289.50"
1978,White,Male,70.4,"1,332.50"
1977,White,Male,70.2,"1,343.50"
1976,White,Male,69.9,"1,379.50"
1975,White,Male,69.5,"1,391.10"
1974,White,Male,69,"1,450.80"
1973,White,Male,68.5,"1,507.20"
1972,White,Male,68.3,"1,520.20"
1971,White,Male,68.3,"1,514.40"
1970,White,Male,68,"1,513.70"
1969,White,Male,67.7,"1,570.40"
1968,White,Male,67.5,"1,602.70"
1967,White,Male,67.8,"1,566.90"
1966,White,Male,67.5,"1,595.70"
1965,White,Male,67.6,"1,589.90"
1964,White,Male,67.7,"1,572.00"
1963,White,Male,67.4,"1,614.70"
1962,White,Male,67.7,"1,579.10"
1961,White,Male,67.8,"1,547.30"
1960,White,Male,67.4,"1,586.00"
1959,White,Male,67.5,"1,552.10"
1958,White,Male,67.4,"1,573.10"
1957,White,Male,67.2,"1,581.70"
1956,White,Male,67.5,"1,554.40"
1955,White,Male,67.4,"1,544.70"
1954,White,Male,67.5,"1,516.30"
1953,White,Male,66.8,"1,589.00"
1952,White,Male,66.6,"1,588.50"
1951,White,Male,66.5,"1,621.70"
1950,White,Male,66.5,"1,642.50"
1949,White,Male,66.2,"1,647.80"
1948,White,Male,65.5,"1,691.20"
1947,White,Male,65.2,"1,718.60"
1946,White,Male,65.1,"1,706.10"
1945,White,Male,64.4,"1,761.60"
1944,White,Male,64.5,"1,788.00"
1943,White,Male,63.2,"1,872.90"
1942,White,Male,65.9,"1,793.70"
1941,White,Male,64.4,"1,844.10"
1940,White,Male,62.1,"1,925.20"
1939,White,Male,63.3,"1,894.40"
1938,White,Male,63.2,"1,882.70"
1937,White,Male,59.3,"2,016.50"
1936,White,Male,58,"2,087.00"
1935,White,Male,61,"1,979.30"
1934,White,Male,60.5,"2,000.70"
1933,White,Male,62.7,"1,952.20"
1932,White,Male,62,"1,982.90"
1931,White,Male,60.8,"1,983.60"
1930,White,Male,59.7,"2,013.80"
1929,White,Male,57.2,"2,141.20"
1928,White,Male,57,"2,182.80"
1927,White,Male,60.5,"2,048.60"
1926,White,Male,57,"2,190.60"
1925,White,Male,59.3,"2,104.40"
1924,White,Male,59.8,"2,073.70"
1923,White,Male,57.1,"2,174.20"
1922,White,Male,59.1,"2,088.20"
1921,White,Male,60.8,"1,986.20"
1920,White,Male,54.4,"2,166.60"
1919,White,Male,54.5,"2,096.00"
1918,White,Male,37.1,"2,680.70"
1917,White,Male,49.3,"2,375.90"
1916,White,Male,50.2,"2,365.60"
1915,White,Male,53.1,"2,267.80"
1914,White,Male,52.7,"2,254.10"
1913,White,Male,50.8,"2,322.10"
1912,White,Male,51.9,"2,327.50"
1911,White,Male,51.3,"2,350.30"
1910,White,Male,48.6,"2,441.90"
1909,White,Male,50.9,"2,363.80"
1908,White,Male,49.9,"2,412.30"
1907,White,Male,46,"2,637.00"
1906,White,Male,47.3,"2,529.30"
1905,White,Male,47.6,"2,544.70"
1904,White,Male,46.6,"2,630.50"
1903,White,Male,49.5,"2,494.20"
1902,White,Male,50.2,"2,430.10"
1901,White,Male,48,"2,582.30"
1900,White,Male,46.6,"2,613.20"
