,ICD Chapter,ICD Sub-Chapter,,Cause of death,,id,value
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,"Duodenal ulcer, chronic or unspecified with haemorrhage",,,42
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,"Peptic ulcer, site unspecified, chronic or unspecified with haemorrhage",,,47
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,Gastro-oesophageal reflux disease without oesophagitis,,,49
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,"Duodenal ulcer, chronic or unspecified with perforation",,,60
All Causes,Diseases of the digestive system,Diseases of peritoneum,,Other specified disorders of peritoneum,,,10
All Causes,Diseases of the digestive system,Diseases of peritoneum,,Haemoperitoneum,,,21
All Causes,Diseases of the digestive system,Diseases of peritoneum,,Acute peritonitis,,,69
All Causes,Diseases of the digestive system,Diseases of peritoneum,,"Peritonitis, unspecified",,,74
All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",,Other specified diseases of pancreas,,,11
All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",,Obstruction of bile duct,,,22
All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",,Alcohol-induced acute pancreatitis,,,23
All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",,"Disease of gallbladder, unspecified",,,24
All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",,Other chronic pancreatitis,,,31
All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",,"Disease of pancreas, unspecified",,,31
All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",,Cholangitis,,,44
All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",,Calculus of gallbladder without cholecystitis,,,50
All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",,"Cholecystitis, unspecified",,,60
All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",,Acute cholecystitis,,,64
All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",,Acute pancreatitis,,,94
All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",,"Acute pancreatitis, unspecified",,,133
All Causes,Diseases of the digestive system,Hernia,,Unspecified abdominal hernia without obstruction or gangrene,,,13
All Causes,Diseases of the digestive system,Hernia,,"Unilateral or unspecified inguinal hernia, with obstruction, without gangrene",,,14
All Causes,Diseases of the digestive system,Hernia,,"Unspecified abdominal hernia with obstruction, without gangrene",,,21
All Causes,Diseases of the digestive system,Hernia,,"Ventral hernia with obstruction, without gangrene",,,22
All Causes,Diseases of the digestive system,Hernia,,Diaphragmatic hernia without obstruction or gangrene,,,27
All Causes,Diseases of the digestive system,Noninfective enteritis and colitis,,"Ulcerative colitis, unspecified",,,25
All Causes,Diseases of the digestive system,Noninfective enteritis and colitis,,"Crohn's disease, unspecified",,,47
All Causes,Diseases of the digestive system,Noninfective enteritis and colitis,,"Noninfective gastroenteritis and colitis, unspecified",,,95
All Causes,Diseases of the digestive system,Other diseases of intestines,,Haemorrhage of anus and rectum,,,10
All Causes,Diseases of the digestive system,Other diseases of intestines,,Diverticular disease of large intestine with perforation and abscess,,,16
All Causes,Diseases of the digestive system,Other diseases of intestines,,Chronic vascular disorders of intestine,,,18
All Causes,Diseases of the digestive system,Other diseases of intestines,,Intestinal adhesions [bands] with obstruction,,,18
All Causes,Diseases of the digestive system,Other diseases of intestines,,"Megacolon, not elsewhere classified",,,21
All Causes,Diseases of the digestive system,Other diseases of intestines,,Fistula of intestine,,,23
All Causes,Diseases of the digestive system,Other diseases of intestines,,"Disease of intestine, unspecified",,,27
All Causes,Diseases of the digestive system,Other diseases of intestines,,Volvulus,,,33
All Causes,Diseases of the digestive system,Other diseases of intestines,,"Ileus, unspecified",,,40
All Causes,Diseases of the digestive system,Other diseases of intestines,,"Diverticular disease of intestine, part unspecified, with perforation and abscess",,,73
All Causes,Diseases of the digestive system,Other diseases of intestines,,"Diverticular disease of intestine, part unspecified, without perforation or abscess",,,113
All Causes,Diseases of the digestive system,Other diseases of intestines,,Perforation of intestine (nontraumatic),,,182
All Causes,Diseases of the digestive system,Other diseases of intestines,,Acute vascular disorders of intestine,,,198
All Causes,Diseases of the digestive system,Other diseases of intestines,,Other and unspecified intestinal obstruction,,,399
All Causes,Diseases of the digestive system,Other diseases of intestines,,"Vascular disorder of intestine, unspecified",,,531
All Causes,Diseases of the digestive system,Other diseases of the digestive system,,"Blind loop syndrome, not elsewhere classified",,,17
All Causes,Diseases of the digestive system,Other diseases of the digestive system,,"Gastrointestinal haemorrhage, unspecified",,,730
All Causes,Diseases of the genitourinary system,Diseases of male genital organs,,Hyperplasia of prostate,,,32
All Causes,Diseases of the genitourinary system,Glomerular diseases,,"Chronic nephritic syndrome, unspecified",,,123
All Causes,Diseases of the genitourinary system,Other diseases of urinary system,,"Neuromuscular dysfunction of bladder, unspecified",,,11
All Causes,Diseases of the genitourinary system,Other diseases of urinary system,,Vesicointestinal fistula,,,15
All Causes,Diseases of the genitourinary system,Other diseases of urinary system,,"Urinary tract infection, site not specified",,,973
All Causes,Diseases of the genitourinary system,Other disorders of kidney and ureter,,"Disorder of kidney and ureter, unspecified",,,57
All Causes,Diseases of the genitourinary system,Other disorders of kidney and ureter,,Other specified disorders of kidney and ureter,,,67
All Causes,Diseases of the genitourinary system,Renal failure,,Acute renal failure with tubular necrosis,,,12
All Causes,Diseases of the genitourinary system,Renal failure,,"Chronic kidney disease, stage 5",,,528
All Causes,Diseases of the genitourinary system,Renal failure,,End-stage renal disease,,,531
All Causes,Diseases of the genitourinary system,Renal failure,,"Chronic renal failure, unspecified",,,674
All Causes,Diseases of the genitourinary system,Renal failure,,"Acute renal failure, unspecified",,,678
All Causes,Diseases of the genitourinary system,Renal failure,,Unspecified renal failure,,,892
All Causes,Diseases of the genitourinary system,Renal tubulo-interstitial diseases,,"Obstructive and reflux uropathy, unspecified",,,22
All Causes,Diseases of the genitourinary system,Renal tubulo-interstitial diseases,,"Tubulo-interstitial nephritis, not specified as acute or chronic",,,35
All Causes,Diseases of the genitourinary system,Urolithiasis,,Calculus of kidney,,,29
All Causes,Diseases of the musculoskeletal system and connective tissue,Arthropathies,,Rheumatoid lung disease (J99.0*),,,13
All Causes,Diseases of the musculoskeletal system and connective tissue,Arthropathies,,"Arthritis, unspecified",,,15
All Causes,Diseases of the musculoskeletal system and connective tissue,Arthropathies,,"Pyogenic arthritis, unspecified",,,27
All Causes,Diseases of the musculoskeletal system and connective tissue,Arthropathies,,"Arthrosis, unspecified",,,84
All Causes,Diseases of the musculoskeletal system and connective tissue,Arthropathies,,"Rheumatoid arthritis, unspecified",,,176
All Causes,Diseases of the musculoskeletal system and connective tissue,Dorsopathies,,"Discitis, unspecified",,,16
All Causes,Diseases of the musculoskeletal system and connective tissue,Dorsopathies,,"Scoliosis, unspecified",,,20
All Causes,Diseases of the musculoskeletal system and connective tissue,Dorsopathies,,Osteomyelitis of vertebra,,,20
All Causes,Diseases of the musculoskeletal system and connective tissue,Dorsopathies,,Spinal stenosis,,,31
All Causes,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies,,"Pathological fracture, not elsewhere classified",,,10
All Causes,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies,,"Osteoporosis, unspecified",,,51
All Causes,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies,,Unspecified osteoporosis with pathological fracture,,,53
All Causes,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies,,"Osteomyelitis, unspecified",,,118
All Causes,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders,,"Myositis, unspecified",,,11
All Causes,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders,,Necrotizing fasciitis,,,38
All Causes,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders,,Other specified disorders of muscle,,,41
All Causes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders,,Polymyositis,,,10
All Causes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders,,Thrombotic microangiopathy,,,18
All Causes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders,,"Systemic involvement of connective tissue, unspecified",,,18
All Causes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders,,Wegener's granulomatosis,,,27
All Causes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders,,"Systemic sclerosis, unspecified",,,30
All Causes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders,,Other forms of systemic sclerosis,,,68
All Causes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders,,Systemic lupus erythematosus with organ or system involvement,,,81
All Causes,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,,"Tetraplegia, unspecified",,,31
All Causes,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,,"Paraplegia, unspecified",,,44
All Causes,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,,"Infantile cerebral palsy, unspecified",,,92
All Causes,Diseases of the nervous system,Demyelinating diseases of the central nervous system,,Multiple sclerosis,,,334
All Causes,Diseases of the nervous system,Diseases of myoneural junction and muscle,,"Myoneural disorder, unspecified",,,20
All Causes,Diseases of the nervous system,Diseases of myoneural junction and muscle,,Myotonic disorders,,,29
All Causes,Diseases of the nervous system,Diseases of myoneural junction and muscle,,Myasthenia gravis,,,47
All Causes,Diseases of the nervous system,Diseases of myoneural junction and muscle,,Muscular dystrophy,,,55
All Causes,Diseases of the nervous system,Episodic and paroxysmal disorders,,"Grand mal seizures, unspecified (with or without petit mal)",,,10
All Causes,Diseases of the nervous system,Episodic and paroxysmal disorders,,"Transient cerebral ischaemic attack, unspecified",,,17
All Causes,Diseases of the nervous system,Episodic and paroxysmal disorders,,"Epilepsy, unspecified",,,66
All Causes,Diseases of the nervous system,Episodic and paroxysmal disorders,,"Status epilepticus, unspecified",,,74
All Causes,Diseases of the nervous system,Episodic and paroxysmal disorders,,Sleep apnoea,,,105
All Causes,Diseases of the nervous system,Extrapyramidal and movement disorders,,"Dystonia, unspecified",,,10
All Causes,Diseases of the nervous system,Extrapyramidal and movement disorders,,Parkinson's disease,,,1829
All Causes,Diseases of the nervous system,Inflammatory diseases of the central nervous system,,"Extradural and subdural abscess, unspecified",,,18
All Causes,Diseases of the nervous system,Inflammatory diseases of the central nervous system,,"Meningitis, unspecified",,,20
All Causes,Diseases of the nervous system,Inflammatory diseases of the central nervous system,,"Encephalitis, myelitis and encephalomyelitis, unspecified",,,25
All Causes,Diseases of the nervous system,Other degenerative diseases of the nervous system,,Degeneration of nervous system due to alcohol,,,12
All Causes,Diseases of the nervous system,Other degenerative diseases of the nervous system,,"Degenerative disease of nervous system, unspecified",,,36
All Causes,Diseases of the nervous system,Other degenerative diseases of the nervous system,,Circumscribed brain atrophy,,,44
All Causes,Diseases of the nervous system,Other degenerative diseases of the nervous system,,"Senile degeneration of brain, not elsewhere classified",,,76
All Causes,Diseases of the nervous system,Other degenerative diseases of the nervous system,,Other specified degenerative diseases of nervous system,,,166
All Causes,Diseases of the nervous system,Other degenerative diseases of the nervous system,,Alzheimer's disease with late onset,,,213
All Causes,Diseases of the nervous system,Other degenerative diseases of the nervous system,,"Alzheimer's disease, unspecified",,,5327
All Causes,Diseases of the nervous system,Other disorders of the nervous system,,Multi-system degeneration,,,13
All Causes,Diseases of the nervous system,Other disorders of the nervous system,,Compression of brain,,,14
All Causes,Diseases of the nervous system,Other disorders of the nervous system,,Cerebral oedema,,,25
All Causes,Diseases of the nervous system,Other disorders of the nervous system,,Other specified disorders of brain,,,25
All Causes,Diseases of the nervous system,Other disorders of the nervous system,,"Hydrocephalus, unspecified",,,32
All Causes,Diseases of the nervous system,Other disorders of the nervous system,,"Disorder of brain, unspecified",,,32
All Causes,Diseases of the nervous system,Other disorders of the nervous system,,Normal-pressure hydrocephalus,,,46
All Causes,Diseases of the nervous system,Other disorders of the nervous system,,"Encephalopathy, unspecified",,,191
All Causes,Diseases of the nervous system,Other disorders of the nervous system,,"Anoxic brain damage, not elsewhere classified",,,735
All Causes,Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system,,Guillain-Barre syndrome,,,17
All Causes,Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system,,"Polyneuropathy, unspecified",,,22
All Causes,Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system,,Early-onset cerebellar ataxia,,,11
All Causes,Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system,,Huntington's disease,,,92
All Causes,Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system,,Motor neuron disease,,,542
All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,,Predominantly allergic asthma,,,10
All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,,Unspecified chronic bronchitis,,,17
All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,,"Bronchitis, not specified as acute or chronic",,,26
All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,,Status asthmaticus,,,27
All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,,Bronchiectasis,,,106
All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,,Other specified chronic obstructive pulmonary disease,,,215
All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,,"Asthma, unspecified",,,236
All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",,,243
All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,,Chronic obstructive pulmonary disease with acute lower respiratory infection,,,840
All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,,"Emphysema, unspecified",,,1355
All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,,"Chronic obstructive pulmonary disease, unspecified",,,8400
All Causes,Diseases of the respiratory system,Influenza and pneumonia,,"Influenza with other respiratory manifestations, influenza virus identified",,,13
All Causes,Diseases of the respiratory system,Influenza and pneumonia,,"Influenza with pneumonia, influenza virus identified",,,16
All Causes,Diseases of the respiratory system,Influenza and pneumonia,,"Viral pneumonia, unspecified",,,16
All Causes,Diseases of the respiratory system,Influenza and pneumonia,,Pneumonia due to Streptococcus pneumoniae,,,31
All Causes,Diseases of the respiratory system,Influenza and pneumonia,,"Influenza with pneumonia, virus not identified",,,38
All Causes,Diseases of the respiratory system,Influenza and pneumonia,,Pneumonia due to Pseudomonas,,,41
All Causes,Diseases of the respiratory system,Influenza and pneumonia,,Pneumonia due to other streptococci,,,43
All Causes,Diseases of the respiratory system,Influenza and pneumonia,,"Influenza with other respiratory manifestations, virus not identified",,,59
All Causes,Diseases of the respiratory system,Influenza and pneumonia,,"Bronchopneumonia, unspecified",,,63
All Causes,Diseases of the respiratory system,Influenza and pneumonia,,"Lobar pneumonia, unspecified",,,67
All Causes,Diseases of the respiratory system,Influenza and pneumonia,,Pneumonia due to staphylococcus,,,104
All Causes,Diseases of the respiratory system,Influenza and pneumonia,,"Bacterial pneumonia, unspecified",,,115
All Causes,Diseases of the respiratory system,Influenza and pneumonia,,"Pneumonia, unspecified",,,3750
All Causes,Diseases of the respiratory system,Lung diseases due to external agents,,Coalworker's pneumoconiosis,,,11
All Causes,Diseases of the respiratory system,Lung diseases due to external agents,,Pneumoconiosis due to asbestos and other mineral fibres,,,16
All Causes,Diseases of the respiratory system,Lung diseases due to external agents,,Pneumonitis due to food and vomit,,,1339
All Causes,Diseases of the respiratory system,Other acute lower respiratory infections,,"Acute bronchiolitis, unspecified",,,11
All Causes,Diseases of the respiratory system,Other acute lower respiratory infections,,"Acute bronchitis, unspecified",,,16
All Causes,Diseases of the respiratory system,Other diseases of pleura,,"Pneumothorax, unspecified",,,28
All Causes,Diseases of the respiratory system,Other diseases of pleura,,"Pleural effusion, not elsewhere classified",,,114
All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,,"Respiratory disorder, unspecified",,,10
All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,,Pulmonary collapse,,,13
All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,,"Diseases of mediastinum, not elsewhere classified",,,13
All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,,Other specified respiratory disorders,,,40
All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,,Acute respiratory failure,,,83
All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,,Chronic respiratory failure,,,167
All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,,Other disorders of lung,,,235
All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,,"Respiratory failure, unspecified",,,251
All Causes,Diseases of the respiratory system,Other diseases of upper respiratory tract,,Other specified diseases of upper respiratory tract,,,20
All Causes,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,,Alveolar and parietoalveolar conditions,,,12
All Causes,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,,Pulmonary oedema,,,57
All Causes,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,,Adult respiratory distress syndrome,,,138
All Causes,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,,"Interstitial pulmonary disease, unspecified",,,223
All Causes,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,,Other interstitial pulmonary diseases with fibrosis,,,1084
All Causes,Diseases of the respiratory system,Suppurative and necrotic conditions of lower respiratory tract,,Abscess of lung without pneumonia,,,17
All Causes,Diseases of the respiratory system,Suppurative and necrotic conditions of lower respiratory tract,,Pyothorax without fistula,,,23
All Causes,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,,Cellulitis of other parts of limb,,,29
All Causes,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,,"Local infection of skin and subcutaneous tissue, unspecified",,,53
All Causes,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,,"Cellulitis, unspecified",,,82
All Causes,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,,Discoid lupus erythematosus,,,10
All Causes,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,,"Chronic ulcer of skin, not elsewhere classified",,,14
All Causes,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,,"Ulcer of lower limb, not elsewhere classified",,,16
All Causes,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,,"Decubitus ulcer and pressure area, unspecified",,,42
All Causes,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,,Decubitus ulcer,,,71
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Non-insulin-dependent diabetes mellitus, with neurological complications",,,10
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Non-insulin-dependent diabetes mellitus, with other specified complications",,,10
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Insulin-dependent diabetes mellitus, with multiple complications",,,11
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Insulin-dependent diabetes mellitus, with ketoacidosis",,,19
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Non-insulin-dependent diabetes mellitus, with ketoacidosis",,,19
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Unspecified diabetes mellitus, with neurological complications",,,22
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Insulin-dependent diabetes mellitus, with peripheral circulatory complications",,,27
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Unspecified diabetes mellitus, with other specified complications",,,28
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Unspecified diabetes mellitus, with coma",,,32
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Insulin-dependent diabetes mellitus, with renal complications",,,39
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Non-insulin-dependent diabetes mellitus, with multiple complications",,,49
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Unspecified diabetes mellitus, with multiple complications",,,67
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",,,139
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Unspecified diabetes mellitus, with ketoacidosis",,,188
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Non-insulin-dependent diabetes mellitus, with renal complications",,,254
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Insulin-dependent diabetes mellitus, without complications",,,281
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Unspecified diabetes mellitus, with peripheral circulatory complications",,,324
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Unspecified diabetes mellitus, with renal complications",,,453
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Non-insulin-dependent diabetes mellitus, without complications",,,1307
All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,"Unspecified diabetes mellitus, without complications",,,3004
All Causes,"Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,,Other and unspecified adrenocortical insufficiency,,,10
All Causes,"Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland,,"Thyrotoxicosis, unspecified",,,18
All Causes,"Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland,,"Hypothyroidism, unspecified",,,101
All Causes,"Endocrine, nutritional and metabolic diseases",Malnutrition,,Retarded development following protein-energy malnutrition,,,15
All Causes,"Endocrine, nutritional and metabolic diseases",Malnutrition,,Unspecified severe protein-energy malnutrition,,,63
All Causes,"Endocrine, nutritional and metabolic diseases",Malnutrition,,Unspecified protein-energy malnutrition,,,304
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,Other sphingolipidosis,,,10
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,Cystic fibrosis with other manifestations,,,11
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,"Cystic fibrosis, unspecified",,,11
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,Cystic fibrosis with pulmonary manifestations,,,20
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,Disorders of iron metabolism,,,22
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,Disorders of calcium metabolism,,,26
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,"Disorders of plasma-protein metabolism, not elsewhere classified",,,28
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,Hypo-osmolality and hyponatraemia,,,35
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,Organ-limited amyloidosis,,,39
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,"Amyloidosis, unspecified",,,39
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,Hyperkalaemia,,,52
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,Hyperosmolality and hypernatraemia,,,57
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,"Other disorders of electrolyte and fluid balance, not elsewhere classified",,,70
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,"Metabolic disorder, unspecified",,,78
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,Acidosis,,,118
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,Pure hypercholesterolaemia,,,219
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,Volume depletion,,,296
All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,"Hyperlipidaemia, unspecified",,,625
All Causes,"Endocrine, nutritional and metabolic diseases",Obesity and other hyperalimentation,,Extreme obesity with alveolar hypoventilation,,,11
All Causes,"Endocrine, nutritional and metabolic diseases",Obesity and other hyperalimentation,,"Obesity, unspecified",,,207
All Causes,"Endocrine, nutritional and metabolic diseases",Obesity and other hyperalimentation,,Other obesity,,,250
All Causes,"Endocrine, nutritional and metabolic diseases",Other disorders of glucose regulation and pancreatic internal secretion,,"Hypoglycaemia, unspecified",,,26
All Causes,"Endocrine, nutritional and metabolic diseases",Other nutritional deficiencies,,"Nutritional deficiency, unspecified",,,13
All Causes,External causes of morbidity and mortality,Assault,,"Assault by smoke, fire and flames",,,17
All Causes,External causes of morbidity and mortality,Assault,,By unspecified person,,,19
All Causes,External causes of morbidity and mortality,Assault,,"Assault by rifle, shotgun and larger firearm discharge",,,40
All Causes,External causes of morbidity and mortality,Assault,,"Assault by hanging, strangulation and suffocation",,,51
All Causes,External causes of morbidity and mortality,Assault,,Assault by other specified means,,,75
All Causes,External causes of morbidity and mortality,Assault,,Assault by unspecified means,,,93
All Causes,External causes of morbidity and mortality,Assault,,Assault by sharp object,,,175
All Causes,External causes of morbidity and mortality,Assault,,Assault by other and unspecified firearm discharge,,,1324
All Causes,External causes of morbidity and mortality,Complications of medical and surgical care,,"Drug or medicament, unspecified",,,11
All Causes,External causes of morbidity and mortality,Complications of medical and surgical care,,"Surgical operation with anastomosis, bypass or graft",,,18
All Causes,External causes of morbidity and mortality,Complications of medical and surgical care,,Surgical operation with implant of artificial internal device,,,24
All Causes,External causes of morbidity and mortality,Complications of medical and surgical care,,Other medical procedures,,,27
All Causes,External causes of morbidity and mortality,Complications of medical and surgical care,,"Surgical procedure, unspecified",,,74
All Causes,External causes of morbidity and mortality,Event of undetermined intent,,"Exposure to smoke, fire and flames, undetermined intent",,,10
All Causes,External causes of morbidity and mortality,Event of undetermined intent,,"Hanging, strangulation and suffocation, undetermined intent",,,11
All Causes,External causes of morbidity and mortality,Event of undetermined intent,,"Other specified events, undetermined intent",,,12
All Causes,External causes of morbidity and mortality,Event of undetermined intent,,"Drowning and submersion, undetermined intent",,,19
All Causes,External causes of morbidity and mortality,Event of undetermined intent,,"Other and unspecified firearm discharge, undetermined intent",,,28
All Causes,External causes of morbidity and mortality,Event of undetermined intent,,"Unspecified event, undetermined intent",,,30
All Causes,External causes of morbidity and mortality,Event of undetermined intent,,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",,,35
All Causes,External causes of morbidity and mortality,Event of undetermined intent,,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",,,40
All Causes,External causes of morbidity and mortality,Event of undetermined intent,,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",,,100
All Causes,External causes of morbidity and mortality,Intentional self-harm,,Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances,,,11
All Causes,External causes of morbidity and mortality,Intentional self-harm,,Intentional self-harm by crashing of motor vehicle,,,12
All Causes,External causes of morbidity and mortality,Intentional self-harm,,"Intentional self-harm by smoke, fire and flames",,,16
All Causes,External causes of morbidity and mortality,Intentional self-harm,,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",,,25
All Causes,External causes of morbidity and mortality,Intentional self-harm,,Intentional self-harm by drowning and submersion,,,26
All Causes,External causes of morbidity and mortality,Intentional self-harm,,Intentional self-harm by jumping or lying before moving object,,,26
All Causes,External causes of morbidity and mortality,Intentional self-harm,,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",,,32
All Causes,External causes of morbidity and mortality,Intentional self-harm,,Intentional self-harm by jumping from a high place,,,47
All Causes,External causes of morbidity and mortality,Intentional self-harm,,Intentional self-harm by sharp object,,,51
