,,ICD Chapter,ICD Sub-Chapter,Cause of death,
600,All Causes,Diseases of the digestive system,Diseases of liver,Primary biliary cirrhosis,23
809,All Causes,Diseases of the digestive system,Diseases of liver,,
68,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",Adult hypertrophic pyloric stenosis,10
200,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum","Disease of oesophagus, unspecified",11
224,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum","Duodenal ulcer, chronic or unspecified with haemorrhage",42
225,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum","Duodenal ulcer, chronic or unspecified with perforation",60
226,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum","Duodenal ulcer, unspecified as acute or chronic, without haemorrhage or perforation",22
228,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",Dyskinesia of oesophagus,31
270,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum","Gastric ulcer, chronic or unspecified with haemorrhage",28
271,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum","Gastric ulcer, chronic or unspecified with perforation",35
272,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum","Gastric ulcer, unspecified as acute or chronic, without haemorrhage or perforation",14
275,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",Gastro-oesophageal reflux disease without oesophagitis,49
482,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",Oesophageal obstruction,35
484,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",Oesophagitis,14
532,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",Other specified diseases of oesophagus,12
534,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",Other specified diseases of stomach and duodenum,32
560,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum","Peptic ulcer, site unspecified, chronic or unspecified with haemorrhage",47
561,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum","Peptic ulcer, site unspecified, chronic or unspecified with perforation",18
562,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum","Peptic ulcer, site unspecified, unspecified as acute or chronic, without haemorrhage or perforation",12
564,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",Perforation of oesophagus,16
808,All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,
77,All Causes,Diseases of the digestive system,Diseases of peritoneum,Acute peritonitis,69
280,All Causes,Diseases of the digestive system,Diseases of peritoneum,Haemoperitoneum,21
539,All Causes,Diseases of the digestive system,Diseases of peritoneum,Other specified disorders of peritoneum,10
569,All Causes,Diseases of the digestive system,Diseases of peritoneum,"Peritonitis, unspecified",74
807,All Causes,Diseases of the digestive system,Diseases of peritoneum,,
59,All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",Alcohol-induced acute pancreatitis,23
78,All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas","Acute pancreatitis, unspecified",133
79,All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",Acute pancreatitis,94
87,All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",Acute cholecystitis,64
116,All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",Calculus of gallbladder without cholecystitis,50
148,All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",Cholangitis,44
149,All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas","Cholecystitis, unspecified",60
198,All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas","Disease of gallbladder, unspecified",24
201,All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas","Disease of pancreas, unspecified",31
479,All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",Obstruction of bile duct,22
504,All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",Other chronic pancreatitis,31
533,All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",Other specified diseases of pancreas,11
806,All Causes,Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",,
193,All Causes,Diseases of the digestive system,Hernia,Diaphragmatic hernia without obstruction or gangrene,27
702,All Causes,Diseases of the digestive system,Hernia,"Unilateral or unspecified inguinal hernia, with obstruction, without gangrene",14
703,All Causes,Diseases of the digestive system,Hernia,"Unspecified abdominal hernia with obstruction, without gangrene",21
704,All Causes,Diseases of the digestive system,Hernia,Unspecified abdominal hernia without obstruction or gangrene,13
739,All Causes,Diseases of the digestive system,Hernia,"Ventral hernia with obstruction, without gangrene",22
805,All Causes,Diseases of the digestive system,Hernia,,
182,All Causes,Diseases of the digestive system,Noninfective enteritis and colitis,"Crohn's disease, unspecified",47
468,All Causes,Diseases of the digestive system,Noninfective enteritis and colitis,"Noninfective gastroenteritis and colitis, unspecified",95
701,All Causes,Diseases of the digestive system,Noninfective enteritis and colitis,"Ulcerative colitis, unspecified",25
804,All Causes,Diseases of the digestive system,Noninfective enteritis and colitis,,
70,All Causes,Diseases of the digestive system,Other diseases of intestines,Acute vascular disorders of intestine,198
163,All Causes,Diseases of the digestive system,Other diseases of intestines,Chronic vascular disorders of intestine,18
199,All Causes,Diseases of the digestive system,Other diseases of intestines,"Disease of intestine, unspecified",27
213,All Causes,Diseases of the digestive system,Other diseases of intestines,"Diverticular disease of intestine, part unspecified, with perforation and abscess",73
214,All Causes,Diseases of the digestive system,Other diseases of intestines,"Diverticular disease of intestine, part unspecified, without perforation or abscess",113
215,All Causes,Diseases of the digestive system,Other diseases of intestines,Diverticular disease of large intestine with perforation and abscess,16
267,All Causes,Diseases of the digestive system,Other diseases of intestines,Fistula of intestine,23
281,All Causes,Diseases of the digestive system,Other diseases of intestines,Haemorrhage of anus and rectum,10
329,All Causes,Diseases of the digestive system,Other diseases of intestines,"Ileus, unspecified",40
365,All Causes,Diseases of the digestive system,Other diseases of intestines,Intestinal adhesions [bands] with obstruction,18
410,All Causes,Diseases of the digestive system,Other diseases of intestines,"Megacolon, not elsewhere classified",21
500,All Causes,Diseases of the digestive system,Other diseases of intestines,Other and unspecified intestinal obstruction,399
563,All Causes,Diseases of the digestive system,Other diseases of intestines,Perforation of intestine (nontraumatic),182
738,All Causes,Diseases of the digestive system,Other diseases of intestines,"Vascular disorder of intestine, unspecified",531
747,All Causes,Diseases of the digestive system,Other diseases of intestines,Volvulus,33
803,All Causes,Diseases of the digestive system,Other diseases of intestines,,
11,All Causes,Diseases of the digestive system,Other diseases of the digestive system,"Blind loop syndrome, not elsewhere classified",17
274,All Causes,Diseases of the digestive system,Other diseases of the digestive system,"Gastrointestinal haemorrhage, unspecified",730
802,All Causes,Diseases of the digestive system,Other diseases of the digestive system,,
854,All Causes,Diseases of the digestive system,,,
312,All Causes,Diseases of the genitourinary system,Hyperplasia of prostate,,32
156,All Causes,Diseases of the genitourinary system,Glomerular diseases,"Chronic nephritic syndrome, unspecified",123
458,All Causes,Diseases of the genitourinary system,Other diseases of urinary system,"Neuromuscular dysfunction of bladder, unspecified",11
736,All Causes,Diseases of the genitourinary system,Other diseases of urinary system,"Urinary tract infection, site not specified",973
742,All Causes,Diseases of the genitourinary system,Other diseases of urinary system,Vesicointestinal fistula,15
800,All Causes,Diseases of the genitourinary system,Other diseases of urinary system,,
206,All Causes,Diseases of the genitourinary system,Other disorders of kidney and ureter,"Disorder of kidney and ureter, unspecified",57
537,All Causes,Diseases of the genitourinary system,Other disorders of kidney and ureter,Other specified disorders of kidney and ureter,67
799,All Causes,Diseases of the genitourinary system,Other disorders of kidney and ureter,,
73,All Causes,Diseases of the genitourinary system,Renal failure,"Acute renal failure, unspecified",678
74,All Causes,Diseases of the genitourinary system,Renal failure,Acute renal failure with tubular necrosis,12
151,All Causes,Diseases of the genitourinary system,Renal failure,"Chronic kidney disease, stage 5",528
160,All Causes,Diseases of the genitourinary system,Renal failure,"Chronic renal failure, unspecified",674
240,All Causes,Diseases of the genitourinary system,Renal failure,End-stage renal disease,531
727,All Causes,Diseases of the genitourinary system,Renal failure,Unspecified renal failure,892
798,All Causes,Diseases of the genitourinary system,Renal failure,,
480,All Causes,Diseases of the genitourinary system,Renal tubulo-interstitial diseases,"Obstructive and reflux uropathy, unspecified",22
699,All Causes,Diseases of the genitourinary system,Renal tubulo-interstitial diseases,"Tubulo-interstitial nephritis, not specified as acute or chronic",35
797,All Causes,Diseases of the genitourinary system,Renal tubulo-interstitial diseases,,
117,All Causes,Diseases of the genitourinary system,Calculus of kidney,,29
853,All Causes,Diseases of the genitourinary system,,,
36,All Causes,Diseases of the musculoskeletal system and connective tissue,Arthropathies,"Arthrosis, unspecified",84
37,All Causes,Diseases of the musculoskeletal system and connective tissue,Arthropathies,"Arthritis, unspecified",15
609,All Causes,Diseases of the musculoskeletal system and connective tissue,Arthropathies,"Pyogenic arthritis, unspecified",27
621,All Causes,Diseases of the musculoskeletal system and connective tissue,Arthropathies,"Rheumatoid arthritis, unspecified",176
622,All Causes,Diseases of the musculoskeletal system and connective tissue,Arthropathies,Rheumatoid lung disease (J99.0*),13
796,All Causes,Diseases of the musculoskeletal system and connective tissue,Arthropathies,,
196,All Causes,Diseases of the musculoskeletal system and connective tissue,Dorsopathies,"Discitis, unspecified",16
488,All Causes,Diseases of the musculoskeletal system and connective tissue,Dorsopathies,Osteomyelitis of vertebra,20
625,All Causes,Diseases of the musculoskeletal system and connective tissue,Dorsopathies,"Scoliosis, unspecified",20
662,All Causes,Diseases of the musculoskeletal system and connective tissue,Dorsopathies,Spinal stenosis,31
795,All Causes,Diseases of the musculoskeletal system and connective tissue,Dorsopathies,,
489,All Causes,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies,"Osteomyelitis, unspecified",118
490,All Causes,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies,"Osteoporosis, unspecified",51
553,All Causes,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies,"Pathological fracture, not elsewhere classified",10
724,All Causes,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies,Unspecified osteoporosis with pathological fracture,53
794,All Causes,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies,,
449,All Causes,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders,"Myositis, unspecified",11
453,All Causes,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders,Necrotizing fasciitis,38
538,All Causes,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders,Other specified disorders of muscle,41
793,All Causes,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders,,
512,All Causes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders,Other forms of systemic sclerosis,68
594,All Causes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders,Polymyositis,10
681,All Causes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders,"Systemic involvement of connective tissue, unspecified",18
682,All Causes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders,Systemic lupus erythematosus with organ or system involvement,81
683,All Causes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders,"Systemic sclerosis, unspecified",30
690,All Causes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders,Thrombotic microangiopathy,18
750,All Causes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders,Wegener's granulomatosis,27
792,All Causes,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders,,
852,All Causes,Diseases of the musculoskeletal system and connective tissue,,,
332,All Causes,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,"Infantile cerebral palsy, unspecified",92
550,All Causes,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,"Paraplegia, unspecified",44
685,All Causes,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,"Tetraplegia, unspecified",31
791,All Causes,Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,,
441,All Causes,Diseases of the nervous system,Multiple sclerosis,,334
443,All Causes,Diseases of the nervous system,Diseases of myoneural junction and muscle,Muscular dystrophy,55
444,All Causes,Diseases of the nervous system,Diseases of myoneural junction and muscle,Myasthenia gravis,47
448,All Causes,Diseases of the nervous system,Diseases of myoneural junction and muscle,"Myoneural disorder, unspecified",20
450,All Causes,Diseases of the nervous system,Diseases of myoneural junction and muscle,Myotonic disorders,29
790,All Causes,Diseases of the nervous system,Diseases of myoneural junction and muscle,,
242,All Causes,Diseases of the nervous system,Episodic and paroxysmal disorders,"Epilepsy, unspecified",66
278,All Causes,Diseases of the nervous system,Episodic and paroxysmal disorders,"Grand mal seizures, unspecified (with or without petit mal)",10
656,All Causes,Diseases of the nervous system,Episodic and paroxysmal disorders,Sleep apnoea,105
665,All Causes,Diseases of the nervous system,Episodic and paroxysmal disorders,"Status epilepticus, unspecified",74
695,All Causes,Diseases of the nervous system,Episodic and paroxysmal disorders,"Transient cerebral ischaemic attack, unspecified",17
789,All Causes,Diseases of the nervous system,Episodic and paroxysmal disorders,,
230,All Causes,Diseases of the nervous system,Extrapyramidal and movement disorders,"Dystonia, unspecified",10
551,All Causes,Diseases of the nervous system,Extrapyramidal and movement disorders,Parkinson's disease,1829
788,All Causes,Diseases of the nervous system,Extrapyramidal and movement disorders,,
236,All Causes,Diseases of the nervous system,Inflammatory diseases of the central nervous system,"Encephalitis, myelitis and encephalomyelitis, unspecified",25
253,All Causes,Diseases of the nervous system,Inflammatory diseases of the central nervous system,"Extradural and subdural abscess, unspecified",18
412,All Causes,Diseases of the nervous system,Inflammatory diseases of the central nervous system,"Meningitis, unspecified",20
787,All Causes,Diseases of the nervous system,Inflammatory diseases of the central nervous system,,
56,All Causes,Diseases of the nervous system,Other degenerative diseases of the nervous system,"Alzheimer's disease, unspecified",5327
57,All Causes,Diseases of the nervous system,Other degenerative diseases of the nervous system,Alzheimer's disease with late onset,213
166,All Causes,Diseases of the nervous system,Other degenerative diseases of the nervous system,Circumscribed brain atrophy,44
188,All Causes,Diseases of the nervous system,Other degenerative diseases of the nervous system,Degeneration of nervous system due to alcohol,12
189,All Causes,Diseases of the nervous system,Other degenerative diseases of the nervous system,"Degenerative disease of nervous system, unspecified",36
530,All Causes,Diseases of the nervous system,Other degenerative diseases of the nervous system,Other specified degenerative diseases of nervous system,166
632,All Causes,Diseases of the nervous system,Other degenerative diseases of the nervous system,"Senile degeneration of brain, not elsewhere classified",76
786,All Causes,Diseases of the nervous system,Other degenerative diseases of the nervous system,,
48,All Causes,Diseases of the nervous system,Other disorders of the nervous system,"Anoxic brain damage, not elsewhere classified",735
143,All Causes,Diseases of the nervous system,Other disorders of the nervous system,Cerebral oedema,25
170,All Causes,Diseases of the nervous system,Other disorders of the nervous system,Compression of brain,14
205,All Causes,Diseases of the nervous system,Other disorders of the nervous system,"Disorder of brain, unspecified",32
237,All Causes,Diseases of the nervous system,Other disorders of the nervous system,"Encephalopathy, unspecified",191
307,All Causes,Diseases of the nervous system,Other disorders of the nervous system,"Hydrocephalus, unspecified",32
442,All Causes,Diseases of the nervous system,Other disorders of the nervous system,Multi-system degeneration,13
476,All Causes,Diseases of the nervous system,Other disorders of the nervous system,Normal-pressure hydrocephalus,46
536,All Causes,Diseases of the nervous system,Other disorders of the nervous system,Other specified disorders of brain,25
785,All Causes,Diseases of the nervous system,Other disorders of the nervous system,,
279,All Causes,Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system,Guillain-Barre syndrome,17
595,All Causes,Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system,"Polyneuropathy, unspecified",22
784,All Causes,Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system,,
231,All Causes,Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system,Early-onset cerebellar ataxia,11
306,All Causes,Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system,Huntington's disease,92
432,All Causes,Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system,Motor neuron disease,542
783,All Causes,Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system,,
851,All Causes,Diseases of the nervous system,,,
2,All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,"Bronchitis, not specified as acute or chronic",26
3,All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,Bronchiectasis,106
26,All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,"Asthma, unspecified",236
157,All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",243
158,All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,840
159,All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",8400
235,All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,"Emphysema, unspecified",1355
528,All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,Other specified chronic obstructive pulmonary disease,215
598,All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,Predominantly allergic asthma,10
664,All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,Status asthmaticus,27
706,All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,Unspecified chronic bronchitis,17
782,All Causes,Diseases of the respiratory system,Chronic lower respiratory diseases,,
1,All Causes,Diseases of the respiratory system,Influenza and pneumonia,"Bronchopneumonia, unspecified",63
18,All Causes,Diseases of the respiratory system,Influenza and pneumonia,"Bacterial pneumonia, unspecified",115
335,All Causes,Diseases of the respiratory system,Influenza and pneumonia,"Influenza with other respiratory manifestations, influenza virus identified",13
336,All Causes,Diseases of the respiratory system,Influenza and pneumonia,"Influenza with other respiratory manifestations, virus not identified",59
337,All Causes,Diseases of the respiratory system,Influenza and pneumonia,"Influenza with pneumonia, influenza virus identified",16
338,All Causes,Diseases of the respiratory system,Influenza and pneumonia,"Influenza with pneumonia, virus not identified",38
385,All Causes,Diseases of the respiratory system,Influenza and pneumonia,"Lobar pneumonia, unspecified",67
582,All Causes,Diseases of the respiratory system,Influenza and pneumonia,Pneumonia due to other streptococci,43
583,All Causes,Diseases of the respiratory system,Influenza and pneumonia,Pneumonia due to Pseudomonas,41
584,All Causes,Diseases of the respiratory system,Influenza and pneumonia,Pneumonia due to staphylococcus,104
585,All Causes,Diseases of the respiratory system,Influenza and pneumonia,Pneumonia due to Streptococcus pneumoniae,31
586,All Causes,Diseases of the respiratory system,Influenza and pneumonia,"Pneumonia, unspecified",3750
745,All Causes,Diseases of the respiratory system,Influenza and pneumonia,"Viral pneumonia, unspecified",16
781,All Causes,Diseases of the respiratory system,Influenza and pneumonia,,
168,All Causes,Diseases of the respiratory system,Lung diseases due to external agents,Coalworker's pneumoconiosis,11
581,All Causes,Diseases of the respiratory system,Lung diseases due to external agents,Pneumoconiosis due to asbestos and other mineral fibres,16
587,All Causes,Diseases of the respiratory system,Lung diseases due to external agents,Pneumonitis due to food and vomit,1339
780,All Causes,Diseases of the respiratory system,Lung diseases due to external agents,,
88,All Causes,Diseases of the respiratory system,Other acute lower respiratory infections,"Acute bronchitis, unspecified",16
89,All Causes,Diseases of the respiratory system,Other acute lower respiratory infections,"Acute bronchiolitis, unspecified",11
779,All Causes,Diseases of the respiratory system,Other acute lower respiratory infections,,
580,All Causes,Diseases of the respiratory system,Other diseases of pleura,"Pleural effusion, not elsewhere classified",114
588,All Causes,Diseases of the respiratory system,Other diseases of pleura,"Pneumothorax, unspecified",28
778,All Causes,Diseases of the respiratory system,Other diseases of pleura,,
72,All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,Acute respiratory failure,83
161,All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,Chronic respiratory failure,167
203,All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,"Diseases of mediastinum, not elsewhere classified",13
507,All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,Other disorders of lung,235
544,All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,Other specified respiratory disorders,40
604,All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,Pulmonary collapse,13
613,All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,"Respiratory disorder, unspecified",10
615,All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,"Respiratory failure, unspecified",251
777,All Causes,Diseases of the respiratory system,Other diseases of the respiratory system,,
535,All Causes,Diseases of the respiratory system,Other diseases of upper respiratory tract,Other specified diseases of upper respiratory tract,20
58,All Causes,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,Alveolar and parietoalveolar conditions,12
67,All Causes,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,Adult respiratory distress syndrome,138
364,All Causes,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,"Interstitial pulmonary disease, unspecified",223
517,All Causes,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,Other interstitial pulmonary diseases with fibrosis,1084
607,All Causes,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,Pulmonary oedema,57
776,All Causes,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,,
104,All Causes,Diseases of the respiratory system,Suppurative and necrotic conditions of lower respiratory tract,Abscess of lung without pneumonia,17
610,All Causes,Diseases of the respiratory system,Suppurative and necrotic conditions of lower respiratory tract,Pyothorax without fistula,23
775,All Causes,Diseases of the respiratory system,Suppurative and necrotic conditions of lower respiratory tract,,
850,All Causes,Diseases of the respiratory system,,,
135,All Causes,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,Cellulitis of other parts of limb,29
136,All Causes,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,"Cellulitis, unspecified",82
386,All Causes,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,"Local infection of skin and subcutaneous tissue, unspecified",53
774,All Causes,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,,
162,All Causes,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,"Chronic ulcer of skin, not elsewhere classified",14
186,All Causes,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Decubitus ulcer,71
187,All Causes,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,"Decubitus ulcer and pressure area, unspecified",42
197,All Causes,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,Discoid lupus erythematosus,10
700,All Causes,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,"Ulcer of lower limb, not elsewhere classified",16
773,All Causes,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue,,
849,All Causes,Diseases of the skin and subcutaneous tissue,,,
343,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Insulin-dependent diabetes mellitus, with ketoacidosis",19
344,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Insulin-dependent diabetes mellitus, with multiple complications",11
345,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Insulin-dependent diabetes mellitus, with peripheral circulatory complications",27
346,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Insulin-dependent diabetes mellitus, with renal complications",39
347,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Insulin-dependent diabetes mellitus, without complications",281
469,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Non-insulin-dependent diabetes mellitus, with ketoacidosis",19
470,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Non-insulin-dependent diabetes mellitus, with multiple complications",49
471,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Non-insulin-dependent diabetes mellitus, with neurological complications",10
472,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Non-insulin-dependent diabetes mellitus, with other specified complications",10
473,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",139
474,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Non-insulin-dependent diabetes mellitus, with renal complications",254
475,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Non-insulin-dependent diabetes mellitus, without complications",1307
708,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Unspecified diabetes mellitus, with coma",32
709,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Unspecified diabetes mellitus, with ketoacidosis",188
710,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Unspecified diabetes mellitus, with multiple complications",67
711,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Unspecified diabetes mellitus, with neurological complications",22
712,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Unspecified diabetes mellitus, with other specified complications",28
713,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Unspecified diabetes mellitus, with peripheral circulatory complications",324
714,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Unspecified diabetes mellitus, with renal complications",453
715,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,"Unspecified diabetes mellitus, without complications",3004
772,All Causes,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus,,
493,All Causes,"Endocrine, nutritional and metabolic diseases",Other and unspecified adrenocortical insufficiency,,10
326,All Causes,"Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland,"Hypothyroidism, unspecified",101
691,All Causes,"Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland,"Thyrotoxicosis, unspecified",18
771,All Causes,"Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland,,
617,All Causes,"Endocrine, nutritional and metabolic diseases",Malnutrition,Retarded development following protein-energy malnutrition,15
725,All Causes,"Endocrine, nutritional and metabolic diseases",Malnutrition,Unspecified protein-energy malnutrition,304
728,All Causes,"Endocrine, nutritional and metabolic diseases",Malnutrition,Unspecified severe protein-energy malnutrition,63
770,All Causes,"Endocrine, nutritional and metabolic diseases",Malnutrition,,
54,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,"Amyloidosis, unspecified",39
93,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,Acidosis,118
183,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,Cystic fibrosis with other manifestations,11
184,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,Cystic fibrosis with pulmonary manifestations,20
185,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,"Cystic fibrosis, unspecified",11
208,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,Disorders of calcium metabolism,26
209,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,Disorders of iron metabolism,22
210,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,"Disorders of plasma-protein metabolism, not elsewhere classified",28
309,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,Hyperkalaemia,52
310,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,"Hyperlipidaemia, unspecified",625
311,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,Hyperosmolality and hypernatraemia,57
322,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,Hypo-osmolality and hyponatraemia,35
426,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,"Metabolic disorder, unspecified",78
