ICD Chapter	ICD Sub-Chapter	Cause of death	Deaths
External causes of morbidity and mortality	Intentional self-harm	Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances	11
External causes of morbidity and mortality	Intentional self-harm	Intentional self-harm by crashing of motor vehicle	12
External causes of morbidity and mortality	Intentional self-harm	"Intentional self-harm by smoke, fire and flames"	16
External causes of morbidity and mortality	Intentional self-harm	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	25
External causes of morbidity and mortality	Intentional self-harm	Intentional self-harm by drowning and submersion	26
External causes of morbidity and mortality	Intentional self-harm	Intentional self-harm by jumping or lying before moving object	26
External causes of morbidity and mortality	Intentional self-harm	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	32
External causes of morbidity and mortality	Intentional self-harm	Intentional self-harm by jumping from a high place	47
External causes of morbidity and mortality	Intentional self-harm	Intentional self-harm by sharp object	51
External causes of morbidity and mortality	Intentional self-harm	Intentional self-harm by handgun discharge	52
External causes of morbidity and mortality	Intentional self-harm	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	82
External causes of morbidity and mortality	Intentional self-harm	Intentional self-poisoning by and exposure to other gases and vapours	132
External causes of morbidity and mortality	Intentional self-harm	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	163
External causes of morbidity and mortality	Intentional self-harm	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	203
External causes of morbidity and mortality	Intentional self-harm	"Intentional self-harm by hanging, strangulation and suffocation"	693
External causes of morbidity and mortality	Intentional self-harm	Intentional self-harm by other and unspecified firearm discharge	1252
Certain infectious and parasitic diseases	Intestinal infectious diseases	"Viral intestinal infection, unspecified"	10
Certain infectious and parasitic diseases	Intestinal infectious diseases	Other and unspecified gastroenteritis and colitis of infectious origin	24
Certain infectious and parasitic diseases	Intestinal infectious diseases	Gastroenteritis and colitis of unspecified origin	74
Certain infectious and parasitic diseases	Intestinal infectious diseases	Enterocolitis due to Clostridium difficile	564
Diseases of the circulatory system	Ischaemic heart diseases	"Angina pectoris, unspecified"	15
Diseases of the circulatory system	Ischaemic heart diseases	Other forms of acute ischaemic heart disease	27
Diseases of the circulatory system	Ischaemic heart diseases	Acute subendocardial myocardial infarction	31
Diseases of the circulatory system	Ischaemic heart diseases	"Acute ischaemic heart disease, unspecified"	115
Diseases of the circulatory system	Ischaemic heart diseases	Other forms of chronic ischaemic heart disease	168
Diseases of the circulatory system	Ischaemic heart diseases	"Chronic ischaemic heart disease, unspecified"	481
Diseases of the circulatory system	Ischaemic heart diseases	Ischaemic cardiomyopathy	1266
Diseases of the circulatory system	Ischaemic heart diseases	"Atherosclerotic cardiovascular disease, so described"	3248
Diseases of the circulatory system	Ischaemic heart diseases	"Acute myocardial infarction, unspecified"	9637
Diseases of the circulatory system	Ischaemic heart diseases	Atherosclerotic heart disease	12573
Diseases of the respiratory system	Lung diseases due to external agents	Coalworker's pneumoconiosis	11
Diseases of the respiratory system	Lung diseases due to external agents	Pneumoconiosis due to asbestos and other mineral fibres	16
Diseases of the respiratory system	Lung diseases due to external agents	Pneumonitis due to food and vomit	1339
Neoplasms	Malignant neoplasms	Glottis - Malignant neoplasms	10
Neoplasms	Malignant neoplasms	Cerebellum - Malignant neoplasms	10
Neoplasms	Malignant neoplasms	"Hypopharynx, unspecified - Malignant neoplasms"	11
Neoplasms	Malignant neoplasms	"Major salivary gland, unspecified - Malignant neoplasms"	12
Neoplasms	Malignant neoplasms	Skin of other and unspecified parts of face - Malignant neoplasms	12
Neoplasms	Malignant neoplasms	Acute promyelocytic leukaemia - Malignant neoplasms	12
Neoplasms	Malignant neoplasms	Chronic leukaemia of unspecified cell type - Malignant neoplasms	12
Neoplasms	Malignant neoplasms	"Eye, unspecified - Malignant neoplasms"	13
Neoplasms	Malignant neoplasms	Retroperitoneum - Malignant neoplasms	14
Neoplasms	Malignant neoplasms	"Cerebrum, except lobes and ventricles - Malignant neoplasms"	14
Neoplasms	Malignant neoplasms	Waldenstrom's macroglobulinaemia - Malignant neoplasms	14
Neoplasms	Malignant neoplasms	Ampulla of Vater - Malignant neoplasms	15
Neoplasms	Malignant neoplasms	Malignant neoplasm of thymus	15
Neoplasms	Malignant neoplasms	Urethra - Malignant neoplasms	15
Neoplasms	Malignant neoplasms	"Urinary organ, unspecified - Malignant neoplasms"	15
Neoplasms	Malignant neoplasms	Other ill-defined sites - Malignant neoplasms	15
Neoplasms	Malignant neoplasms	Small cell (diffuse) - Malignant neoplasms	15
Neoplasms	Malignant neoplasms	Hairy-cell leukaemia - Malignant neoplasms	15
Neoplasms	Malignant neoplasms	Ascending colon - Malignant neoplasms	17
Neoplasms	Malignant neoplasms	"Connective and soft tissue of lower limb, including hip - Malignant neoplasms"	17
Neoplasms	Malignant neoplasms	Connective and soft tissue of abdomen - Malignant neoplasms	17
Neoplasms	Malignant neoplasms	"Female genital organ, unspecified - Malignant neoplasms"	17
Neoplasms	Malignant neoplasms	Malignant neoplasm of renal pelvis	17
Neoplasms	Malignant neoplasms	Burkitt's tumour - Malignant neoplasms	17
Neoplasms	Malignant neoplasms	Supraglottis - Malignant neoplasms	18
Neoplasms	Malignant neoplasms	Malignant neoplasm of trachea	18
Neoplasms	Malignant neoplasms	Fallopian tube - Malignant neoplasms	18
Neoplasms	Malignant neoplasms	Secondary malignant neoplasm of lung - Malignant neoplasms	18
Neoplasms	Malignant neoplasms	"Accessory sinus, unspecified - Malignant neoplasms"	19
Neoplasms	Malignant neoplasms	"Intestinal tract, part unspecified - Malignant neoplasms"	20
Neoplasms	Malignant neoplasms	Pelvis - Malignant neoplasms	20
Neoplasms	Malignant neoplasms	Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms	22
Neoplasms	Malignant neoplasms	"Testis, unspecified - Malignant neoplasms"	23
Neoplasms	Malignant neoplasms	Caecum - Malignant neoplasms	26
Neoplasms	Malignant neoplasms	Brain stem - Malignant neoplasms	26
Neoplasms	Malignant neoplasms	"Penis, unspecified - Malignant neoplasms"	28
Neoplasms	Malignant neoplasms	"Follicular non-Hodgkin's lymphoma, unspecified - Malignant neoplasms"	29
Neoplasms	Malignant neoplasms	"Small intestine, unspecified - Malignant neoplasms"	30
Neoplasms	Malignant neoplasms	"Biliary tract, unspecified - Malignant neoplasms"	30
Neoplasms	Malignant neoplasms	"Lower lobe, bronchus or lung - Malignant neoplasms"	30
Neoplasms	Malignant neoplasms	Sigmoid colon - Malignant neoplasms	33
Neoplasms	Malignant neoplasms	"Oropharynx, unspecified - Malignant neoplasms"	34
Neoplasms	Malignant neoplasms	Malignant neoplasm of parotid gland	36
Neoplasms	Malignant neoplasms	"Nasopharynx, unspecified - Malignant neoplasms"	36
Neoplasms	Malignant neoplasms	Extrahepatic bile duct - Malignant neoplasms	36
Neoplasms	Malignant neoplasms	Malignant neoplasm of vagina	36
Neoplasms	Malignant neoplasms	Malignant neoplasm of ureter	36
Neoplasms	Malignant neoplasms	Other myeloid leukaemia - Malignant neoplasms	39
Neoplasms	Malignant neoplasms	Other and unspecified T-cell lymphomas - Malignant neoplasms	43
Neoplasms	Malignant neoplasms	Appendix - Malignant neoplasms	44
Neoplasms	Malignant neoplasms	"Adrenal gland, unspecified - Malignant neoplasms"	44
Neoplasms	Malignant neoplasms	Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms	47
Neoplasms	Malignant neoplasms	Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms	49
Neoplasms	Malignant neoplasms	Duodenum - Malignant neoplasms	50
Neoplasms	Malignant neoplasms	Abdomen - Malignant neoplasms	51
Neoplasms	Malignant neoplasms	Cardia - Malignant neoplasms	52
Neoplasms	Malignant neoplasms	"Anus, unspecified - Malignant neoplasms"	52
Neoplasms	Malignant neoplasms	Ill-defined sites within the digestive system - Malignant neoplasms	54
Neoplasms	Malignant neoplasms	"Bone and articular cartilage, unspecified - Malignant neoplasms"	60
Neoplasms	Malignant neoplasms	Small cleaved cell (diffuse) - Malignant neoplasms	63
Neoplasms	Malignant neoplasms	"Mouth, unspecified - Malignant neoplasms"	65
Neoplasms	Malignant neoplasms	"Upper lobe, bronchus or lung - Malignant neoplasms"	68
Neoplasms	Malignant neoplasms	"Head, face and neck - Malignant neoplasms"	73
Neoplasms	Malignant neoplasms	"Peritoneum, unspecified - Malignant neoplasms"	78
Neoplasms	Malignant neoplasms	"Tonsil, unspecified - Malignant neoplasms"	79
Neoplasms	Malignant neoplasms	Chronic myeloid leukaemia - Malignant neoplasms	85
Neoplasms	Malignant neoplasms	Skin of scalp and neck - Malignant neoplasms	86
Neoplasms	Malignant neoplasms	Acute lymphoblastic leukaemia - Malignant neoplasms	87
Neoplasms	Malignant neoplasms	"Vulva, unspecified - Malignant neoplasms"	88
Neoplasms	Malignant neoplasms	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	91
Neoplasms	Malignant neoplasms	"Pharynx, unspecified - Malignant neoplasms"	95
Neoplasms	Malignant neoplasms	"Hodgkin's disease, unspecified - Malignant neoplasms"	100
Neoplasms	Malignant neoplasms	Malignant neoplasm of thyroid gland	105
Neoplasms	Malignant neoplasms	Secondary malignant neoplasm of liver - Malignant neoplasms	111
Neoplasms	Malignant neoplasms	Large cell (diffuse) - Malignant neoplasms	111
Neoplasms	Malignant neoplasms	"Mesothelioma, unspecified - Malignant neoplasms"	129
Neoplasms	Malignant neoplasms	"Tongue, unspecified - Malignant neoplasms"	136
Neoplasms	Malignant neoplasms	Malignant neoplasm of gallbladder	138
Neoplasms	Malignant neoplasms	Acute leukaemia of unspecified cell type - Malignant neoplasms	146
Neoplasms	Malignant neoplasms	"B-cell lymphoma, unspecified - Malignant neoplasms"	156
Neoplasms	Malignant neoplasms	"Leukaemia, unspecified - Malignant neoplasms"	175
Neoplasms	Malignant neoplasms	Malignant neoplasm of rectosigmoid junction	182
Neoplasms	Malignant neoplasms	Secondary malignant neoplasm of other specified sites - Malignant neoplasms	248
Neoplasms	Malignant neoplasms	"Connective and soft tissue, unspecified - Malignant neoplasms"	250
Neoplasms	Malignant neoplasms	"Larynx, unspecified - Malignant neoplasms"	301
Neoplasms	Malignant neoplasms	Malignant neoplasms of independent (primary) multiple sites	310
Neoplasms	Malignant neoplasms	"Cervix uteri, unspecified - Malignant neoplasms"	326
Neoplasms	Malignant neoplasms	Endometrium - Malignant neoplasms	327
Neoplasms	Malignant neoplasms	Chronic lymphocytic leukaemia - Malignant neoplasms	341
Neoplasms	Malignant neoplasms	Intrahepatic bile duct carcinoma - Malignant neoplasms	366
Neoplasms	Malignant neoplasms	"Malignant neoplasm of uterus, part unspecified"	383
Neoplasms	Malignant neoplasms	"Liver, unspecified - Malignant neoplasms"	384
Neoplasms	Malignant neoplasms	Malignant neoplasm of rectum	603
Neoplasms	Malignant neoplasms	Liver cell carcinoma - Malignant neoplasms	603
Neoplasms	Malignant neoplasms	"Stomach, unspecified - Malignant neoplasms"	629
Neoplasms	Malignant neoplasms	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	653
Neoplasms	Malignant neoplasms	Acute myeloid leukaemia - Malignant neoplasms	665
Neoplasms	Malignant neoplasms	Multiple myeloma - Malignant neoplasms	836
Neoplasms	Malignant neoplasms	"Malignant neoplasm of kidney, except renal pelvis"	983
Neoplasms	Malignant neoplasms	"Brain, unspecified - Malignant neoplasms"	1040
Neoplasms	Malignant neoplasms	"Bladder, unspecified - Malignant neoplasms"	1064
Neoplasms	Malignant neoplasms	Malignant neoplasm of ovary	1111
Neoplasms	Malignant neoplasms	"Non-Hodgkin's lymphoma, unspecified type - Malignant neoplasms"	1114
Neoplasms	Malignant neoplasms	"Oesophagus, unspecified - Malignant neoplasms"	1167
Neoplasms	Malignant neoplasms	Malignant neoplasm of prostate	1993
Neoplasms	Malignant neoplasms	Malignant neoplasm without specification of site	2073
Neoplasms	Malignant neoplasms	"Pancreas, unspecified - Malignant neoplasms"	2626
Neoplasms	Malignant neoplasms	"Colon, unspecified - Malignant neoplasms"	3244
Neoplasms	Malignant neoplasms	"Breast, unspecified - Malignant neoplasms"	3655
Neoplasms	Malignant neoplasms	"Bronchus or lung, unspecified - Malignant neoplasms"	13280
"Endocrine, nutritional and metabolic diseases"	Malnutrition	Retarded development following protein-energy malnutrition	15
"Endocrine, nutritional and metabolic diseases"	Malnutrition	Unspecified severe protein-energy malnutrition	63
"Endocrine, nutritional and metabolic diseases"	Malnutrition	Unspecified protein-energy malnutrition	304
Mental and behavioural disorders	Mental and behavioural disorders due to psychoactive substance use	"Mental and behavioural disorders due to use of alcohol, withdrawal state"	12
Mental and behavioural disorders	Mental and behavioural disorders due to psychoactive substance use	"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder"	13
Mental and behavioural disorders	Mental and behavioural disorders due to psychoactive substance use	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome"	14
Mental and behavioural disorders	Mental and behavioural disorders due to psychoactive substance use	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	18
Mental and behavioural disorders	Mental and behavioural disorders due to psychoactive substance use	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	23
Mental and behavioural disorders	Mental and behavioural disorders due to psychoactive substance use	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	25
Mental and behavioural disorders	Mental and behavioural disorders due to psychoactive substance use	"Mental and behavioural disorders due to use of alcohol, acute intoxication"	35
Mental and behavioural disorders	Mental and behavioural disorders due to psychoactive substance use	"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"	35
Mental and behavioural disorders	Mental and behavioural disorders due to psychoactive substance use	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	36
Mental and behavioural disorders	Mental and behavioural disorders due to psychoactive substance use	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	48
Mental and behavioural disorders	Mental and behavioural disorders due to psychoactive substance use	"Mental and behavioural disorders due to use of alcohol, harmful use"	166
Mental and behavioural disorders	Mental and behavioural disorders due to psychoactive substance use	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	168
Mental and behavioural disorders	Mental retardation	Profound mental retardation	18
Mental and behavioural disorders	Mental retardation	Unspecified mental retardation	33
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	Other sphingolipidosis	10
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	Cystic fibrosis with other manifestations	11
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	"Cystic fibrosis, unspecified"	11
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	Cystic fibrosis with pulmonary manifestations	20
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	Disorders of iron metabolism	22
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	Disorders of calcium metabolism	26
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	"Disorders of plasma-protein metabolism, not elsewhere classified"	28
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	Hypo-osmolality and hyponatraemia	35
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	Organ-limited amyloidosis	39
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	"Amyloidosis, unspecified"	39
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	Hyperkalaemia	52
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	Hyperosmolality and hypernatraemia	57
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	"Other disorders of electrolyte and fluid balance, not elsewhere classified"	70
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	"Metabolic disorder, unspecified"	78
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	Acidosis	118
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	Pure hypercholesterolaemia	219
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	Volume depletion	296
"Endocrine, nutritional and metabolic diseases"	Metabolic disorders	"Hyperlipidaemia, unspecified"	625
Mental and behavioural disorders	Mood [affective] disorders	"Bipolar affective disorder, unspecified"	14
Mental and behavioural disorders	Mood [affective] disorders	"Depressive episode, unspecified"	48
Certain infectious and parasitic diseases	Mycoses	Candidal septicaemia	12
Certain infectious and parasitic diseases	Mycoses	Unspecified mycosis	32
Neoplasms	Neoplasms of uncertain or unknown behaviour	Spinal cord - Uncertain neoplasms	10
Neoplasms	Neoplasms of uncertain or unknown behaviour	"Refractory anaemia, unspecified - Uncertain neoplasms"	11
Neoplasms	Neoplasms of uncertain or unknown behaviour	Monoclonal gammopathy - Uncertain neoplasms	11
Neoplasms	Neoplasms of uncertain or unknown behaviour	"Brain, supratentorial - Uncertain neoplasms"	13
Neoplasms	Neoplasms of uncertain or unknown behaviour	"Liver, gallbladder and bile ducts - Uncertain neoplasms"	14
Neoplasms	Neoplasms of uncertain or unknown behaviour	"Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified - Uncertain neoplasms"	14
Neoplasms	Neoplasms of uncertain or unknown behaviour	Polycythaemia vera	17
Neoplasms	Neoplasms of uncertain or unknown behaviour	Other digestive organs - Uncertain neoplasms	19
Neoplasms	Neoplasms of uncertain or unknown behaviour	Other specified sites - Uncertain neoplasms	19
Neoplasms	Neoplasms of uncertain or unknown behaviour	Connective and other soft tissue - Uncertain neoplasms	22
Neoplasms	Neoplasms of uncertain or unknown behaviour	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	32
Neoplasms	Neoplasms of uncertain or unknown behaviour	"Trachea, bronchus and lung - Uncertain neoplasms"	53
Neoplasms	Neoplasms of uncertain or unknown behaviour	Chronic myeloproliferative disease - Uncertain neoplasms	107
Neoplasms	Neoplasms of uncertain or unknown behaviour	"Brain, unspecified - Uncertain neoplasms"	197
Neoplasms	Neoplasms of uncertain or unknown behaviour	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	388
Certain conditions originating in the perinatal period	"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery"	Newborn affected by maternal hypertensive disorders	11
Certain conditions originating in the perinatal period	"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery"	Newborn affected by oligohydramnios	13
Certain conditions originating in the perinatal period	"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery"	Newborn affected by other specified complications of labour and delivery	13
Certain conditions originating in the perinatal period	"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery"	Newborn affected by multiple pregnancy	21
Certain conditions originating in the perinatal period	"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery"	Newborn affected by other forms of placental separation and haemorrhage	53
Certain conditions originating in the perinatal period	"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery"	Newborn affected by incompetent cervix	68
Certain conditions originating in the perinatal period	"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery"	Newborn affected by chorioamnionitis	87
Certain conditions originating in the perinatal period	"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery"	Newborn affected by premature rupture of membranes	168
Diseases of the digestive system	Noninfective enteritis and colitis	"Ulcerative colitis, unspecified"	25
Diseases of the digestive system	Noninfective enteritis and colitis	"Crohn's disease, unspecified"	47
Diseases of the digestive system	Noninfective enteritis and colitis	"Noninfective gastroenteritis and colitis, unspecified"	95
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	Nutritional anaemias	Iron deficiency anaemia secondary to blood loss (chronic)	18
"Endocrine, nutritional and metabolic diseases"	Obesity and other hyperalimentation	Extreme obesity with alveolar hypoventilation	11
"Endocrine, nutritional and metabolic diseases"	Obesity and other hyperalimentation	"Obesity, unspecified"	207
"Endocrine, nutritional and metabolic diseases"	Obesity and other hyperalimentation	Other obesity	250
Mental and behavioural disorders	"Organic, including symptomatic, mental disorders"	Delirium superimposed on dementia	19
Mental and behavioural disorders	"Organic, including symptomatic, mental disorders"	"Delirium, unspecified"	23
Mental and behavioural disorders	"Organic, including symptomatic, mental disorders"	Multi-infarct dementia	68
Mental and behavioural disorders	"Organic, including symptomatic, mental disorders"	Unspecified mental disorder due to brain damage and dysfunction and to physical disease	183
Mental and behavioural disorders	"Organic, including symptomatic, mental disorders"	"Vascular dementia, unspecified"	646
Mental and behavioural disorders	"Organic, including symptomatic, mental disorders"	Unspecified dementia	7883
Diseases of the musculoskeletal system and connective tissue	Osteopathies and chondropathies	"Pathological fracture, not elsewhere classified"	10
Diseases of the musculoskeletal system and connective tissue	Osteopathies and chondropathies	"Osteoporosis, unspecified"	51
Diseases of the musculoskeletal system and connective tissue	Osteopathies and chondropathies	Unspecified osteoporosis with pathological fracture	53
Diseases of the musculoskeletal system and connective tissue	Osteopathies and chondropathies	"Osteomyelitis, unspecified"	118
Diseases of the respiratory system	Other acute lower respiratory infections	"Acute bronchiolitis, unspecified"	11
Diseases of the respiratory system	Other acute lower respiratory infections	"Acute bronchitis, unspecified"	16
Diseases of the circulatory system	Other and unspecified disorders of the circulatory system	Other and unspecified disorders of circulatory system	17
Diseases of the circulatory system	Other and unspecified disorders of the circulatory system	"Hypotension, unspecified"	20
Certain infectious and parasitic diseases	Other bacterial diseases	"Streptococcal infection, unspecified"	11
Certain infectious and parasitic diseases	Other bacterial diseases	Septicaemia due to Streptococcus pneumoniae	13
Certain infectious and parasitic diseases	Other bacterial diseases	"Streptococcal septicaemia, unspecified"	14
Certain infectious and parasitic diseases	Other bacterial diseases	Other bacterial infections of unspecified site	15
Certain infectious and parasitic diseases	Other bacterial diseases	Septicaemia due to unspecified staphylococcus	30
Certain infectious and parasitic diseases	Other bacterial diseases	Legionnaires' disease	31
Certain infectious and parasitic diseases	Other bacterial diseases	Septicaemia due to Staphylococcus aureus	49
Certain infectious and parasitic diseases	Other bacterial diseases	"Staphylococcal infection, unspecified"	51
Certain infectious and parasitic diseases	Other bacterial diseases	Septicaemia due to other Gram-negative organisms	77
Certain infectious and parasitic diseases	Other bacterial diseases	"Bacterial infection, unspecified"	112
Certain infectious and parasitic diseases	Other bacterial diseases	"Septicaemia, unspecified"	2556
"Congenital malformations, deformations and chromosomal abnormalities"	Other congenital malformations	Marfan's syndrome	15
"Congenital malformations, deformations and chromosomal abnormalities"	Other congenital malformations	"Multiple congenital malformations, not elsewhere classified"	26
"Congenital malformations, deformations and chromosomal abnormalities"	Other congenital malformations	"Congenital malformation, unspecified"	32
Diseases of the nervous system	Other degenerative diseases of the nervous system	Degeneration of nervous system due to alcohol	12
Diseases of the nervous system	Other degenerative diseases of the nervous system	"Degenerative disease of nervous system, unspecified"	36
Diseases of the nervous system	Other degenerative diseases of the nervous system	Circumscribed brain atrophy	44
Diseases of the nervous system	Other degenerative diseases of the nervous system	"Senile degeneration of brain, not elsewhere classified"	76
Diseases of the nervous system	Other degenerative diseases of the nervous system	Other specified degenerative diseases of nervous system	166
Diseases of the nervous system	Other degenerative diseases of the nervous system	Alzheimer's disease with late onset	213
Diseases of the nervous system	Other degenerative diseases of the nervous system	"Alzheimer's disease, unspecified"	5327
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	Other diseases of blood and blood-forming organs	Agranulocytosis	29
Diseases of the digestive system	Other diseases of intestines	Haemorrhage of anus and rectum	10
Diseases of the digestive system	Other diseases of intestines	Diverticular disease of large intestine with perforation and abscess	16
Diseases of the digestive system	Other diseases of intestines	Chronic vascular disorders of intestine	18
Diseases of the digestive system	Other diseases of intestines	Intestinal adhesions [bands] with obstruction	18
Diseases of the digestive system	Other diseases of intestines	"Megacolon, not elsewhere classified"	21
Diseases of the digestive system	Other diseases of intestines	Fistula of intestine	23
Diseases of the digestive system	Other diseases of intestines	"Disease of intestine, unspecified"	27
Diseases of the digestive system	Other diseases of intestines	Volvulus	33
Diseases of the digestive system	Other diseases of intestines	"Ileus, unspecified"	40
Diseases of the digestive system	Other diseases of intestines	"Diverticular disease of intestine, part unspecified, with perforation and abscess"	73
Diseases of the digestive system	Other diseases of intestines	"Diverticular disease of intestine, part unspecified, without perforation or abscess"	113
Diseases of the digestive system	Other diseases of intestines	Perforation of intestine (nontraumatic)	182
Diseases of the digestive system	Other diseases of intestines	Acute vascular disorders of intestine	198
Diseases of the digestive system	Other diseases of intestines	Other and unspecified intestinal obstruction	399
Diseases of the digestive system	Other diseases of intestines	"Vascular disorder of intestine, unspecified"	531
Diseases of the respiratory system	Other diseases of pleura	"Pneumothorax, unspecified"	28
Diseases of the respiratory system	Other diseases of pleura	"Pleural effusion, not elsewhere classified"	114
Diseases of the digestive system	Other diseases of the digestive system	"Blind loop syndrome, not elsewhere classified"	17
Diseases of the digestive system	Other diseases of the digestive system	"Gastrointestinal haemorrhage, unspecified"	730
Diseases of the respiratory system	Other diseases of the respiratory system	"Respiratory disorder, unspecified"	10
Diseases of the respiratory system	Other diseases of the respiratory system	Pulmonary collapse	13
Diseases of the respiratory system	Other diseases of the respiratory system	"Diseases of mediastinum, not elsewhere classified"	13
Diseases of the respiratory system	Other diseases of the respiratory system	Other specified respiratory disorders	40
Diseases of the respiratory system	Other diseases of the respiratory system	Acute respiratory failure	83
Diseases of the respiratory system	Other diseases of the respiratory system	Chronic respiratory failure	167
Diseases of the respiratory system	Other diseases of the respiratory system	Other disorders of lung	235
Diseases of the respiratory system	Other diseases of the respiratory system	"Respiratory failure, unspecified"	251
Diseases of the respiratory system	Other diseases of upper respiratory tract	Other specified diseases of upper respiratory tract	20
Diseases of the genitourinary system	Other diseases of urinary system	"Neuromuscular dysfunction of bladder, unspecified"	11
Diseases of the genitourinary system	Other diseases of urinary system	Vesicointestinal fistula	15
Diseases of the genitourinary system	Other diseases of urinary system	"Urinary tract infection, site not specified"	973
"Endocrine, nutritional and metabolic diseases"	Other disorders of glucose regulation and pancreatic internal secretion	"Hypoglycaemia, unspecified"	26
Diseases of the genitourinary system	Other disorders of kidney and ureter	"Disorder of kidney and ureter, unspecified"	57
Diseases of the genitourinary system	Other disorders of kidney and ureter	Other specified disorders of kidney and ureter	67
Diseases of the nervous system	Other disorders of the nervous system	Multi-system degeneration	13
Diseases of the nervous system	Other disorders of the nervous system	Compression of brain	14
Diseases of the nervous system	Other disorders of the nervous system	Cerebral oedema	25
Diseases of the nervous system	Other disorders of the nervous system	Other specified disorders of brain	25
Diseases of the nervous system	Other disorders of the nervous system	"Hydrocephalus, unspecified"	32
Diseases of the nervous system	Other disorders of the nervous system	"Disorder of brain, unspecified"	32
Diseases of the nervous system	Other disorders of the nervous system	Normal-pressure hydrocephalus	46
Diseases of the nervous system	Other disorders of the nervous system	"Encephalopathy, unspecified"	191
Diseases of the nervous system	Other disorders of the nervous system	"Anoxic brain damage, not elsewhere classified"	735
Diseases of the skin and subcutaneous tissue	Other disorders of the skin and subcutaneous tissue	Discoid lupus erythematosus	10
Diseases of the skin and subcutaneous tissue	Other disorders of the skin and subcutaneous tissue	"Chronic ulcer of skin, not elsewhere classified"	14
Diseases of the skin and subcutaneous tissue	Other disorders of the skin and subcutaneous tissue	"Ulcer of lower limb, not elsewhere classified"	16
Diseases of the skin and subcutaneous tissue	Other disorders of the skin and subcutaneous tissue	"Decubitus ulcer and pressure area, unspecified"	42
Diseases of the skin and subcutaneous tissue	Other disorders of the skin and subcutaneous tissue	Decubitus ulcer	71
Certain conditions originating in the perinatal period	Other disorders originating in the perinatal period	Hypoxic ischemic encephalopathy of newborn	11
External causes of morbidity and mortality	Other external causes of accidental injury	Drowning and submersion while in bath-tub	10
External causes of morbidity and mortality	Other external causes of accidental injury	"Exposure to unspecified smoke, fire and flames"	10
External causes of morbidity and mortality	Other external causes of accidental injury	Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours	10
External causes of morbidity and mortality	Other external causes of accidental injury	Exposure to unspecified electric current	11
