"Notes"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other specified cardiac arrhythmias"	"I49.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Cardiac arrhythmia, unspecified"	"I49.9"	764	26990678	2.8
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Congestive heart failure"	"I50.0"	3618	26990678	13.4
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Left ventricular failure"	"I50.1"	18	26990678	0.1 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Heart failure, unspecified"	"I50.9"	529	26990678	2.0
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Cardiac septal defect, acquired"	"I51.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Rupture of chordae tendineae, not elsewhere classified"	"I51.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Rupture of papillary muscle, not elsewhere classified"	"I51.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Intracardiac thrombosis, not elsewhere classified"	"I51.3"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Myocarditis, unspecified"	"I51.4"	36	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Myocardial degeneration"	"I51.5"	25	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Cardiovascular disease, unspecified"	"I51.6"	148	26990678	0.5
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Cardiomegaly"	"I51.7"	116	26990678	0.4
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other ill-defined heart diseases"	"I51.8"	148	26990678	0.5
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Heart disease, unspecified"	"I51.9"	496	26990678	1.8
"Total"	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"			13593	26990678	50.4
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Subarachnoid haemorrhage from carotid siphon and bifurcation"	"I60.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Subarachnoid haemorrhage from middle cerebral artery"	"I60.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Subarachnoid haemorrhage from anterior communicating artery"	"I60.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Subarachnoid haemorrhage from posterior communicating artery"	"I60.3"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Subarachnoid haemorrhage from basilar artery"	"I60.4"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Subarachnoid haemorrhage from vertebral artery"	"I60.5"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Subarachnoid haemorrhage from other intracranial arteries"	"I60.6"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Subarachnoid haemorrhage from intracranial artery, unspecified"	"I60.7"	27	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Other subarachnoid haemorrhage"	"I60.8"	17	26990678	0.1 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	477	26990678	1.8
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Intracerebral haemorrhage in hemisphere, subcortical"	"I61.0"	15	26990678	0.1 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Intracerebral haemorrhage in hemisphere, cortical"	"I61.1"	12	26990678	0.0 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Intracerebral haemorrhage in hemisphere, unspecified"	"I61.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Intracerebral haemorrhage in brain stem"	"I61.3"	38	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Intracerebral haemorrhage in cerebellum"	"I61.4"	43	26990678	0.2
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Intracerebral haemorrhage, intraventricular"	"I61.5"	69	26990678	0.3
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Intracerebral haemorrhage, multiple localized"	"I61.6"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Other intracerebral haemorrhage"	"I61.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Intracerebral haemorrhage, unspecified"	"I61.9"	1073	26990678	4.0
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Subdural haemorrhage (acute)(nontraumatic)"	"I62.0"	240	26990678	0.9
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Nontraumatic extradural haemorrhage"	"I62.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	791	26990678	2.9
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Cerebral infarction due to thrombosis of precerebral arteries"	"I63.0"	10	26990678	0.0 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Cerebral infarction due to embolism of precerebral arteries"	"I63.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries"	"I63.2"	58	26990678	0.2
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Cerebral infarction due to thrombosis of cerebral arteries"	"I63.3"	54	26990678	0.2
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Cerebral infarction due to embolism of cerebral arteries"	"I63.4"	64	26990678	0.2
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries"	"I63.5"	14	26990678	0.1 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"	"I63.6"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Other cerebral infarction"	"I63.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Cerebral infarction, unspecified"	"I63.9"	331	26990678	1.2
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Stroke, not specified as haemorrhage or infarction"	"I64"	5534	26990678	20.5
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Dissection of cerebral arteries, nonruptured"	"I67.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Cerebral aneurysm, nonruptured"	"I67.1"	29	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Cerebral atherosclerosis"	"I67.2"	68	26990678	0.3
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Progressive vascular leukoencephalopathy"	"I67.3"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Hypertensive encephalopathy"	"I67.4"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Moyamoya disease"	"I67.5"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Nonpyogenic thrombosis of intracranial venous system"	"I67.6"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Cerebral arteritis, not elsewhere classified"	"I67.7"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Other specified cerebrovascular diseases"	"I67.8"	74	26990678	0.3
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Cerebrovascular disease, unspecified"	"I67.9"	258	26990678	1.0
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Sequelae of subarachnoid haemorrhage"	"I69.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Sequelae of intracerebral haemorrhage"	"I69.1"	17	26990678	0.1 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Sequelae of other nontraumatic intracranial haemorrhage"	"I69.2"	14	26990678	0.1 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Sequelae of cerebral infarction"	"I69.3"	54	26990678	0.2
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	1097	26990678	4.1
	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	663	26990678	2.5
"Total"	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"			11187	26990678	41.4
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Atherosclerosis of aorta"	"I70.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Atherosclerosis of renal artery"	"I70.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Atherosclerosis of arteries of extremities"	"I70.2"	19	26990678	0.1 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Atherosclerosis of other arteries"	"I70.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Generalized and unspecified atherosclerosis"	"I70.9"	563	26990678	2.1
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Dissection of aorta [any part]"	"I71.0"	291	26990678	1.1
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Thoracic aortic aneurysm, ruptured"	"I71.1"	76	26990678	0.3
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Thoracic aortic aneurysm, without mention of rupture"	"I71.2"	61	26990678	0.2
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Abdominal aortic aneurysm, ruptured"	"I71.3"	314	26990678	1.2
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Abdominal aortic aneurysm, without mention of rupture"	"I71.4"	123	26990678	0.5
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Thoracoabdominal aortic aneurysm, ruptured"	"I71.5"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Thoracoabdominal aortic aneurysm, without mention of rupture"	"I71.6"	10	26990678	0.0 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	92	26990678	0.3
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Aortic aneurysm of unspecified site, without mention of rupture"	"I71.9"	51	26990678	0.2
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Aneurysm of carotid artery"	"I72.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Aneurysm of artery of upper extremity"	"I72.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Aneurysm of renal artery"	"I72.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Aneurysm of iliac artery"	"I72.3"	10	26990678	0.0 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Aneurysm of artery of lower extremity"	"I72.4"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Aneurysm and dissection of other precerebral arteries"	"I72.5"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Aneurysm of other specified arteries"	"I72.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Aneurysm of unspecified site"	"I72.9"	25	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Raynaud's syndrome"	"I73.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Thromboangiitis obliterans [Buerger]"	"I73.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Other specified peripheral vascular diseases"	"I73.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Peripheral vascular disease, unspecified"	"I73.9"	629	26990678	2.3
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Embolism and thrombosis of abdominal aorta"	"I74.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Embolism and thrombosis of other and unspecified parts of aorta"	"I74.1"	22	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Embolism and thrombosis of arteries of upper extremities"	"I74.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Embolism and thrombosis of arteries of lower extremities"	"I74.3"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Embolism and thrombosis of arteries of extremities, unspecified"	"I74.4"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Embolism and thrombosis of iliac artery"	"I74.5"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Embolism and thrombosis of other arteries"	"I74.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Embolism and thrombosis of unspecified artery"	"I74.9"	46	26990678	0.2
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Arteriovenous fistula, acquired"	"I77.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Stricture of artery"	"I77.1"	10	26990678	0.0 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Rupture of artery"	"I77.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Arterial fibromuscular dysplasia"	"I77.3"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Coeliac artery compression syndrome"	"I77.4"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Necrosis of artery"	"I77.5"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Arteritis, unspecified"	"I77.6"	22	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Other specified disorders of arteries and arterioles"	"I77.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Disorder of arteries and arterioles, unspecified"	"I77.9"	19	26990678	0.1 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Hereditary haemorrhagic telangiectasia"	"I78.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Naevus, non-neoplastic"	"I78.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Other diseases of capillaries"	"I78.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	"Disease of capillaries, unspecified"	"I78.9"	Suppressed	26990678	Suppressed
"Total"	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"			2447	26990678	9.1
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Phlebitis and thrombophlebitis of superficial vessels of lower extremities"	"I80.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Phlebitis and thrombophlebitis of femoral vein"	"I80.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Phlebitis and thrombophlebitis of other deep vessels of lower extremities"	"I80.2"	251	26990678	0.9
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Phlebitis and thrombophlebitis of lower extremities, unspecified"	"I80.3"	21	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Phlebitis and thrombophlebitis of other sites"	"I80.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Phlebitis and thrombophlebitis of unspecified site"	"I80.9"	12	26990678	0.0 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Portal vein thrombosis"	"I81"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Budd-Chiari syndrome"	"I82.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Thrombophlebitis migrans"	"I82.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Embolism and thrombosis of vena cava"	"I82.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Embolism and thrombosis of renal vein"	"I82.3"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Embolism and thrombosis of other specified veins"	"I82.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Embolism and thrombosis of unspecified vein"	"I82.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Varicose veins of lower extremities with ulcer"	"I83.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Varicose veins of lower extremities with inflammation"	"I83.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Varicose veins of lower extremities with both ulcer and inflammation"	"I83.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Varicose veins of lower extremities without ulcer or inflammation"	"I83.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Internal thrombosed haemorrhoids"	"I84.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Internal haemorrhoids with other complications"	"I84.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Internal haemorrhoids without complication"	"I84.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"External thrombosed haemorrhoids"	"I84.3"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"External haemorrhoids with other complications"	"I84.4"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"External haemorrhoids without complication"	"I84.5"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Residual haemorrhoidal skin tags"	"I84.6"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Unspecified thrombosed haemorrhoids"	"I84.7"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Unspecified haemorrhoids with other complications"	"I84.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Unspecified haemorrhoids without complication"	"I84.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Oesophageal varices with bleeding"	"I85.0"	11	26990678	0.0 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Oesophageal varices without bleeding"	"I85.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Sublingual varices"	"I86.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Scrotal varices"	"I86.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Pelvic varices"	"I86.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Vulval varices"	"I86.3"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Gastric varices"	"I86.4"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Varicose veins of other specified sites"	"I86.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Postphlebitic syndrome"	"I87.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	"Compression of vein"	"I87.1"	Suppressed	26990678	Suppressed
