ICD Chapter,ICD Sub-Chapter,Cause of death,id,id,value
Diseases of the circulatory system,Other forms of heart disease,Left ventricular failure,Diseases of the circulatory system.Other forms of heart disease.Left ventricular failure,Diseases of the circulatory system.Other forms of heart disease.Left ventricular failure,18
Diseases of the circulatory system,Other forms of heart disease,Mitral (valve) insufficiency,Diseases of the circulatory system.Other forms of heart disease.Mitral (valve) insufficiency,Diseases of the circulatory system.Other forms of heart disease.Mitral (valve) insufficiency,192
Diseases of the circulatory system,Other forms of heart disease,Mitral (valve) prolapse,Diseases of the circulatory system.Other forms of heart disease.Mitral (valve) prolapse,Diseases of the circulatory system.Other forms of heart disease.Mitral (valve) prolapse,20
Diseases of the circulatory system,Other forms of heart disease,Myocardial degeneration,Diseases of the circulatory system.Other forms of heart disease.Myocardial degeneration,Diseases of the circulatory system.Other forms of heart disease.Myocardial degeneration,25
Diseases of the circulatory system,Other forms of heart disease,"Myocarditis, unspecified","Diseases of the circulatory system.Other forms of heart disease.Myocarditis, unspecified","Diseases of the circulatory system.Other forms of heart disease.Myocarditis, unspecified",36
Diseases of the circulatory system,Other forms of heart disease,Obstructive hypertrophic cardiomyopathy,Diseases of the circulatory system.Other forms of heart disease.Obstructive hypertrophic cardiomyopathy,Diseases of the circulatory system.Other forms of heart disease.Obstructive hypertrophic cardiomyopathy,14
Diseases of the circulatory system,Other forms of heart disease,Other aortic valve disorders,Diseases of the circulatory system.Other forms of heart disease.Other aortic valve disorders,Diseases of the circulatory system.Other forms of heart disease.Other aortic valve disorders,15
Diseases of the circulatory system,Other forms of heart disease,Other hypertrophic cardiomyopathy,Diseases of the circulatory system.Other forms of heart disease.Other hypertrophic cardiomyopathy,Diseases of the circulatory system.Other forms of heart disease.Other hypertrophic cardiomyopathy,62
Diseases of the circulatory system,Other forms of heart disease,Other ill-defined heart diseases,Diseases of the circulatory system.Other forms of heart disease.Other ill-defined heart diseases,Diseases of the circulatory system.Other forms of heart disease.Other ill-defined heart diseases,148
Diseases of the circulatory system,Other forms of heart disease,Other nonrheumatic mitral valve disorders,Diseases of the circulatory system.Other forms of heart disease.Other nonrheumatic mitral valve disorders,Diseases of the circulatory system.Other forms of heart disease.Other nonrheumatic mitral valve disorders,11
Diseases of the circulatory system,Other forms of heart disease,Other restrictive cardiomyopathy,Diseases of the circulatory system.Other forms of heart disease.Other restrictive cardiomyopathy,Diseases of the circulatory system.Other forms of heart disease.Other restrictive cardiomyopathy,14
Diseases of the circulatory system,Other forms of heart disease,Other specified conduction disorders,Diseases of the circulatory system.Other forms of heart disease.Other specified conduction disorders,Diseases of the circulatory system.Other forms of heart disease.Other specified conduction disorders,71
Diseases of the circulatory system,Other forms of heart disease,Pericardial effusion (noninflammatory),Diseases of the circulatory system.Other forms of heart disease.Pericardial effusion (noninflammatory),Diseases of the circulatory system.Other forms of heart disease.Pericardial effusion (noninflammatory),26
Diseases of the circulatory system,Other forms of heart disease,Sick sinus syndrome,Diseases of the circulatory system.Other forms of heart disease.Sick sinus syndrome,Diseases of the circulatory system.Other forms of heart disease.Sick sinus syndrome,47
Diseases of the circulatory system,Other forms of heart disease,"Sudden cardiac death, so described","Diseases of the circulatory system.Other forms of heart disease.Sudden cardiac death, so described","Diseases of the circulatory system.Other forms of heart disease.Sudden cardiac death, so described",257
Diseases of the circulatory system,Other forms of heart disease,Supraventricular tachycardia,Diseases of the circulatory system.Other forms of heart disease.Supraventricular tachycardia,Diseases of the circulatory system.Other forms of heart disease.Supraventricular tachycardia,18
Diseases of the circulatory system,Other forms of heart disease,Ventricular fibrillation and flutter,Diseases of the circulatory system.Other forms of heart disease.Ventricular fibrillation and flutter,Diseases of the circulatory system.Other forms of heart disease.Ventricular fibrillation and flutter,128
Diseases of the circulatory system,Other forms of heart disease,Ventricular tachycardia,Diseases of the circulatory system.Other forms of heart disease.Ventricular tachycardia,Diseases of the circulatory system.Other forms of heart disease.Ventricular tachycardia,68
Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,,Diseases of the circulatory system.Pulmonary heart disease and diseases of pulmonary circulation,Diseases of the circulatory system.Pulmonary heart disease and diseases of pulmonary circulation,
Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,Other secondary pulmonary hypertension,Diseases of the circulatory system.Pulmonary heart disease and diseases of pulmonary circulation.Other secondary pulmonary hypertension,Diseases of the circulatory system.Pulmonary heart disease and diseases of pulmonary circulation.Other secondary pulmonary hypertension,400
Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,Other specified pulmonary heart diseases,Diseases of the circulatory system.Pulmonary heart disease and diseases of pulmonary circulation.Other specified pulmonary heart diseases,Diseases of the circulatory system.Pulmonary heart disease and diseases of pulmonary circulation.Other specified pulmonary heart diseases,11
Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,Primary pulmonary hypertension,Diseases of the circulatory system.Pulmonary heart disease and diseases of pulmonary circulation.Primary pulmonary hypertension,Diseases of the circulatory system.Pulmonary heart disease and diseases of pulmonary circulation.Primary pulmonary hypertension,115
Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,Pulmonary embolism without mention of acute cor pulmonale,Diseases of the circulatory system.Pulmonary heart disease and diseases of pulmonary circulation.Pulmonary embolism without mention of acute cor pulmonale,Diseases of the circulatory system.Pulmonary heart disease and diseases of pulmonary circulation.Pulmonary embolism without mention of acute cor pulmonale,654
Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,"Pulmonary heart disease, unspecified","Diseases of the circulatory system.Pulmonary heart disease and diseases of pulmonary circulation.Pulmonary heart disease, unspecified","Diseases of the circulatory system.Pulmonary heart disease and diseases of pulmonary circulation.Pulmonary heart disease, unspecified",85
